candidate_key,observation_count,farm_names,source_names,cities,counties,review_status,observation_ids
2 mile cattle company,2,2 Mile Cattle Company,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Cullman,Cullman,merged_exact_name_single_geography,alobs_3e7005ba039213eff60b | alobs_f6430af6330ab030a8d9
5m farm and produce,2,5M Farm&Produce | 5M FARM & PRODUCE,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Selma,Dallas,merged_exact_name_single_geography,alobs_cfae839469d4666095ef | alobs_6f3d2e6fce78ae468df9
allens blueberries,3,Allens Blueberries | ALLENS BLUEBERRIES | Allen's Blueberries,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southeast Alabama,Opelika,Lee,merged_exact_name_single_geography,alobs_0d966c5a309d173a4aa7 | alobs_48b46643fe65c062aa3f | alobs_0893ab20cb2c46ba4054
anderson farms,2,ANDERSON FARMS | Anderson Farms,Alabama Farmers Market Authority — u-pick map | Sweet Grown Alabama — Farm members,Pansey | Gordon,Houston,merged_exact_name_single_geography,alobs_2b669218617d3ea14b98 | alobs_63665951d3520401f496
aplin farms,5,Aplin Farms | APLIN FARMS,Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southeast Alabama | Sweet Grown Alabama — Farm members,Dothan | Slocomb,Geneva | Houston,merged_cross_county_shared_identity_preferred_geography,alobs_858e9003c0429fdb0cd5 | alobs_963d10c4efa2005347cd | alobs_84af0c4c279a210ce7a4 | alobs_eb1d752d80dca8bffeb3 | alobs_7aa0c94fd3f06c019d5a
backyard orchards,3,Backyard Orchards | BACKYARD ORCHARDS,Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southeast Alabama,Eufaula,Barbour,merged_exact_name_single_geography,alobs_f4a2cac5ab6163c5cbe8 | alobs_60d6e281f27a861be8ce | alobs_fa108584cf263224546b
bagwell blueberry farm,3,Bagwell Blueberry Farm | BAGWELL BLUEBERRY FARM,Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map | Sweet Grown Alabama — Farm members,Cullman,Cullman,merged_exact_name_single_geography,alobs_48df73290baf70301a48 | alobs_bd73569b68d0a8fe74a7 | alobs_f2b63e48d81d696f05d3
baldwin blueberries,3,Baldwin Blueberries | BALDWIN BLUEBERRIES,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southwest Alabama,Loxley,Baldwin,merged_exact_name_single_geography,alobs_e7153447478973faf5db | alobs_d8e2b285cc41fa03f779 | alobs_4c3f06479d62f1da4e78
bear mountain blueberry farm,2,BEAR MOUNTAIN BLUEBERRY FARM | Bear Mountain Blueberry Farm,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Central Alabama,Springville,Jefferson,merged_exact_name_single_geography,alobs_16587be1e5e8d221ba85 | alobs_b3ac4f543bc1aba03718
bell farms,5,Bell Farms | BELL FARMS,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southeast Alabama | Sweet Grown Alabama — Farm members,Dothan,Houston,merged_exact_name_single_geography,alobs_130d5c5dd26a3c8ea0f9 | alobs_94923c53467990b247bb | alobs_ec32ed24a837c8addfe3 | alobs_443f33b3fd747f99d64e | alobs_576de42a1eb11a14a785
benison farm market,2,Benison Farm Market | BENISON FARM MARKET,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Greensboro,Hale,merged_exact_name_single_geography,alobs_085b6d57bb24437da698 | alobs_a4eca691697ddb2ebfb6
bettys berry farm,3,Betty’s Berry Farm | BETTY'S BERRY FARM | Betty's Berry Farm,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southwest Alabama,Wilmer,Mobile,merged_exact_name_single_geography,alobs_565fee5c31dfa30ef9a2 | alobs_4c98b748ad31a40bbbbc | alobs_06b45bc15240036cf0d1
bigbee beef,2,Bigbee Beef,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Gilbertown,Choctaw,merged_exact_name_single_geography,alobs_755236df90fc54c506db | alobs_d6bf245edc566c7ba46e
billy gibbons farm,2,Billy Gibbons Farm | BILLY GIBBONS FARM,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Prattville,Autauga,merged_exact_name_single_geography,alobs_e20a7d10df3dbe74fe73 | alobs_38cc9131f6d3b104aad1
blue house farm,2,Blue House Farm,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Wadley,Randolph,merged_exact_name_single_geography,alobs_14c0c80d4750b8d92212 | alobs_694c02790a874d48a065
blue ridge cattle company,2,Blue Ridge Cattle Company,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Cullman,Cullman,merged_exact_name_single_geography,alobs_c61d1616636e24004a70 | alobs_111dc9f433c9d7d6bcc9
blueberry havens,3,Blueberry Havens | BLUEBERRY HAVENS,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southeast Alabama,Camp Hill,Tallapoosa,merged_exact_name_single_geography,alobs_5a5a45a93d6a32bde135 | alobs_42fe658d21da6ebe5da2 | alobs_95c48bd8ce07e5b5db61
