entity_id,farm_name,county,issue_type,issue_detail,recommended_action,status
AL-24C6596BC5,7 Springs Farm,Calhoun,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-B548759508,Abrams Farm,Tuscaloosa,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-A639AEE3FD,AEM Veggies and Plants,Lee,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-6FD0067571,Alan Norden,Baldwin,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-85C6D8A0D7,Amanda & Micheal Joreski-Joreski Family,Coffee,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-63B577219C,Amy&DanielAllman–Allman Farms &,Blount,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-5E0E37CD49,Anderson Produce Farm,Houston,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-70FF83E40E,"Andrews U-Pick-It Fruit and Vegetable Farm, LLC",Chilton,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-A58D60BC4A,Auburn University Transformation Garden,Lee,promotion_blocker,products or farm activity missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-F63D8E086E,Aunt Katie’s Community,Houston,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-9FD86347D4,Autry Vineyards,Marengo,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-ECDEFE363B,Bagwell Blueberry,Cullman,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-BD6A42CB55,Bagwell Farm,Cullman,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-A8FCC430B4,Baty Farm,Blount,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-E5ED40D1DD,Baty U-Pick,Blount,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-DF68BBF388,BBB Brannan Blueberry Brae Farm,Mobile,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-5E81D26A81,Bedsole Produce,Geneva,promotion_blocker,city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-70796DB705,Bee Natural Farm,Baldwin,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-99BC86A239,Bentley Farms,Chilton,promotion_blocker,city or safe public service area missing; single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-D8C2761217,Bertie K. Burton,DeKalb,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-15398C71E3,Black Creek Milling,Etowah,promotion_blocker,products or farm activity missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-92504EEA63,Black Locust Farms,DeKalb,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-9A44AA95CD,Blackburn,Jefferson,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-6B48D4ADD1,Blossomwood Honey,Madison,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-8CF5C4620D,Blue Moon Farm,Mobile,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-148C055A49,Blueberry Falls Farm,DeKalb,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-D49A466302,Blueberry Hill Farm,Jefferson,promotion_blocker,city or safe public service area missing; single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-355CAABEC1,Blues Brothers Orchards,Henry,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-19FC9047A7,Boshell's Bees,Jefferson,promotion_blocker,bee seller requires farm-operation evidence; city or safe public service area missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
AL-591277C28C,Brown's Cut Flower Farm,St. Clair,promotion_blocker,single secondary discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
