farm_name,state,city,county,county_source,address,postal_code,products,phone,email,website_url,facebook_url,instagram_url,source_names,source_urls,source_modified_date,retrieved_date,source_passes,current_release_match,review_status,notes
3R Land & Livestock LLC,MS,Gulfport,,,"100 N Turner Rd, Gulfport, MS 39503",39503,Beef; Pork,(601) 325-1093,3rcattlecompany@gmail.com,https://www.farmraisedcattle.com,https://www.facebook.com/3rcattleco/?ref=page_internal,,Genuine MS — Raised,https://genuinems.com/directory/3r-land-livestock-llc/,2022-08-25,2026-07-15,1,,New candidate — needs independent verification,
4P Beef,MS,Lexington,Holmes,U.S. Census geocoder from public source address,"1565 Brozville Road , Lexington, MS 39095",39095,"Steaks; Brisket; Ribs; Ground Beef; Roasts; Whole, Half, Quarter Beef; Tamales; Beef Tips, Broth Bones, Liver, Osso Bucco, Oxtail, Stew Meat, Stir Fry, & Tenderized Steak",(662) 834-3888,4pbeef@gmail.com,,https://www.facebook.com/4PBEEF,,Genuine MS — Raised,https://genuinems.com/directory/4p-beef/,2022-08-16,2026-07-15,1,,New candidate — needs independent verification,
5D Natural Farm,MS,Raymond,Hinds,U.S. Census geocoder from public source address,"2629 Neil Collins Rd. , Raymond , Mississippi 39154",39154,Fresh Poultry; Fresh Pasture Raised Brown Eggs; Peppers; Okra; English Cucumbers; Tomatoes; Salsas; Variety of different Lettuces,(601) 906-8763,5dnaturalfarm@gmail.com,https://www.5dnaturalfarm.com/,https://www.facebook.com/5Dnaturalfarm,,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/5d-natural-farm/,2024-07-08,2026-07-15,1,,New candidate — needs independent verification,
5D Natural Farms,MS,,,,2629 Neil Collins,,"Tomatos, Bellpeppers, Lettuce, Okra, Cucumbers",,5DNaturalFarm@gmaill.com,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=238,,2026-07-15,2,,New candidate — needs independent verification,
61 Farms LLP,MS,Leland,Washington,MDAC listing,,,Beef; Providing Beef,(662) 822-0387,haybalingfool@aol.com,,,,MDAC Mississippi Farm Marketplace,https://agnet.mdac.ms.gov/MarketPortal/MarketPortal,,2026-07-15,2,,New candidate — needs independent verification,
7-Gen Pastures,MS,Clinton,Hinds,U.S. Census geocoder from public source address,"2913 Kickapoo Rd., Clinton, MS 39056",39056,BEEF,6625711360,sswhit76@gmail.com,,,,Genuine MS — Raised,https://genuinems.com/directory/7-gen-pastures/,2026-04-10,2026-07-15,1,7-gen Pastures,Existing release row — enrich/verify,
"A Cut Above Processing and Meat Market, LLC",MS,Perkinston,Hancock,MDAC listing,,,Beef; Providing Beef; Lamb; Pork; Goat,(228) 365-9291,cutaboveprocessing@gmail.com,https://www.cutaboveprocessing.com,,,MDAC Mississippi Farm Marketplace,https://agnet.mdac.ms.gov/MarketPortal/MarketPortal,,2026-07-15,2,,New candidate — needs independent verification,
"A Cut Above Processing & Meat Market, LLC",MS,Perkinston,Hancock,U.S. Census geocoder from public source address,"6295 Caesar Necaise Rd. 6295 Caesar Necaise Rd, Perkinston, MS 39573",39573,Beef; Pork,228-365-9291,cutaboveprocessing@gmail.com,https://www.cutaboveprocessing.com,https://www.facebook.com/cutaboveprocessing,,Genuine MS — Raised,https://genuinems.com/directory/a-cut-above-processing-meat-market-llc/,2026-04-15,2026-07-15,1,,New candidate — recent authoritative profile,
Addison Blueberry Farms,MS,Duck Hill,Montgomery,U.S. Census geocoder from public source address,"1042 Duck Hill Ranch Road, Duck Hill, MS 38925",38925,Corn; Squash; Okra; Watermelon; Bell Peppers; Cayenne Peppers; Herbs; Tomatoes,225-250-6613,tsaddi1974@gmail.com,,,,Genuine MS — Grown,https://genuinems.com/directory/addison-blueberry-farms/,2026-05-21,2026-07-15,1,,New candidate — recent authoritative profile,
Amason Farms,MS,Duck Hill,Montgomery,U.S. Census geocoder from public source address,"2517 Hwy 51, Duck Hill, MS 38925",38925,Beef; Pork,(662) 565-2481,chance_amason@yahoo.com,,,,Genuine MS — Raised | MDAC Mississippi Farmers Market vendors,https://genuinems.com/directory/amason-farms/ | https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=280,2023-06-07,2026-07-15,1 | 2,Amason Farms,Existing release row — enrich/verify,
