dataset,row,farm_name,state,findings
canonical,8,Brickwall Farms,LA,contact_missing
canonical,9,5D Natural Farm,LA,county_not_specific | contact_missing
canonical,11,Cajun Growers,LA,county_not_specific | contact_missing
canonical,12,Perilloux Farm,LA,contact_missing
canonical,13,White Oaks Farm,LA,contact_missing
canonical,14,Fat Cat Farm,MS,contact_missing
canonical,16,Johndales Farm,LA,county_not_specific | contact_missing
canonical,17,Mizell's Farm,LA,contact_missing
canonical,19,Burg's Bees,LA,county_not_specific | contact_missing
canonical,23,Southern Maids Dairy,LA,county_not_specific | contact_missing
canonical,24,T&R Dairy Farm,LA,county_not_specific | contact_missing
canonical,25,White Sand Homestead,LA,contact_missing
canonical,26,L'Hoste Citrus,LA,contact_missing
canonical,27,Cherry Creek Orchards,LA,contact_missing
canonical,28,Micro Pharms,LA,contact_missing
canonical,29,CRISP Farms,LA,county_not_specific | contact_missing
canonical,31,Cicada Calling Farm,LA,county_not_specific | contact_missing
canonical,32,Nightshade Farm and Flowers,LA,county_not_specific | contact_missing
canonical,33,Nola Tilth,LA,contact_missing
canonical,34,Utopia Gardens,LA,contact_missing
canonical,35,Edible City Gardens,LA,contact_missing
canonical,36,Know Dat Grow Dat,LA,contact_missing
canonical,37,Fisher Farms,LA,contact_missing
canonical,39,Sunflower Hill Farm,LA,contact_missing
canonical,45,Tomkins Farm,LA,county_not_specific | contact_missing
canonical,46,Indian Springs Farmers Assoc.,MS,contact_missing
canonical,47,J&D Blueberry Farm,LA,county_not_specific | contact_missing
canonical,48,Joe Fekete's Family Farm,LA,county_not_specific | contact_missing
canonical,49,Schmelly's Dirt Farm,LA,contact_missing
canonical,50,Sams Sprouts,LA,contact_missing
canonical,51,Carona Farms,LA,county_not_specific | contact_missing
canonical,52,Too Tall Farm and Nursery,LA,county_not_specific | contact_missing
canonical,53,Mycelium Express,LA,contact_missing
canonical,54,Bottomlands Ag Cooperative,LA,county_not_specific | contact_missing
canonical,55,Anna Marie Seafood,LA,county_not_specific | contact_missing
canonical,56,Pete & Clara's Seafood,LA,county_not_specific | contact_missing
canonical,57,Louisiana Gourmet Produce,LA,county_not_specific | contact_missing
canonical,60,Hill Crest Creamery,LA,contact_missing
canonical,61,Bayou Farm,LA,contact_missing
canonical,62,Robin Farms,LA,contact_missing
canonical,63,Thy Bounty Farms,LA,contact_missing
canonical,64,Gotreaux Farms,LA,contact_missing
canonical,65,Three Brothers Farm,LA,contact_missing
canonical,66,Mark and Mary's City Farm,LA,contact_missing
canonical,68,Loup Farms,LA,contact_missing
canonical,82,G Blessed Farm,LA,contact_missing
canonical,84,Black Creek Farm,MS,contact_missing
canonical,85,3R Cattle Company,MS,contact_missing
canonical,87,Lorens Longleaf Ranch,MS,contact_missing
canonical,88,Tick Creek Farm,MS,contact_missing
canonical,96,Shaded Grove Farm Market,MS,county_not_specific
canonical,97,Sweet Meat Farms,MS,contact_missing
canonical,98,Beason Family Farm,MS,county_not_specific
canonical,99,Mauthe Farms LLC,MS,county_not_specific
canonical,100,Mitchell Family Farms,MS,contact_missing
canonical,104,Two Dog Farms,MS,county_not_specific
canonical,105,Living Soil Farms,MS,county_not_specific
canonical,109,Ol' Cappy's Bees,MS,county_not_specific | contact_missing
canonical,111,Coy Bee Company,MS,county_not_specific
canonical,120,Iverstine Farms Butcher,LA,website_flag_without_url
canonical,126,DR Homestead,LA,website_flag_without_url
canonical,128,Landry Poche Strawberry Farm,LA,website_flag_without_url
canonical,134,Wetland Bee Company,LA,website_flag_without_url
canonical,138,River Baron Ranch,LA,website_flag_without_url
canonical,139,A&A Acres,LA,contact_missing
canonical,140,Berry Hill Farm,LA,website_flag_without_url
canonical,143,Epney Farms Premium Beef,LA,contact_missing
canonical,144,Fletcher Farm,LA,website_flag_without_url
canonical,147,Poche Family Farm,LA,contact_missing | website_flag_without_url
canonical,151,Four H Farms,LA,website_flag_without_url
canonical,156,Ewing Farms Dairy,LA,website_flag_without_url
canonical,159,Three Twelve Beef,LA,website_flag_without_url
canonical,160,Westdome Nursery,LA,website_flag_without_url
canonical,161,Gretna Farmers Market,LA,website_flag_without_url
canonical,162,Compostella Farm,MS,website_flag_without_url
canonical,169,Delcambre Direct Seafood,LA,website_flag_without_url
canonical,170,Gonsoulin Land and Cattle,LA,website_flag_without_url
canonical,172,Happy Wings Honey Farms,LA,website_flag_without_url
canonical,175,Bumble Prairie Growing,LA,contact_missing | website_flag_without_url
canonical,179,Guidry's Cajun Farmstead,LA,website_flag_without_url
canonical,183,David Chauvin's Seafood,LA,website_flag_without_url
canonical,186,Vermilion Oaks Ranch,LA,website_flag_without_url
canonical,187,Wright Honey,LA,website_flag_without_url
canonical,189,Blazing Star Farm,LA,website_flag_without_url
canonical,190,James Rice Farms - Prairie Ronde Rice,LA,website_flag_without_url
canonical,192,Prairie Acadian Rice,LA,website_flag_without_url
canonical,193,T. Moise Farms,LA,website_flag_without_url
canonical,194,Kennedy Rice Mill / 4Sisters Rice,LA,website_flag_without_url
canonical,195,H.J. Bergeron Pecan Shelling Plant,LA,website_flag_without_url
