county,pass_1_observations,pass_2_observations,pass_3_observations,candidate_entities,promotion_eligible_entities,status,coverage_note
Autauga,13,2,2,14,11,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Baldwin,40,3,12,42,33,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Barbour,8,1,1,7,6,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Bibb,1,1,2,4,2,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Blount,15,1,6,20,11,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Bullock,8,0,0,7,5,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Butler,11,1,1,11,10,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Calhoun,18,0,3,17,15,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Chambers,8,3,0,10,9,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Cherokee,4,0,1,4,2,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Chilton,42,0,14,42,26,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Choctaw,5,2,0,6,5,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Clarke,3,1,0,3,3,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Clay,9,5,0,13,12,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Cleburne,6,3,1,9,7,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Coffee,16,1,2,17,11,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
Colbert,6,0,0,6,5,candidates_found,All applicable statewide sources and the county's PickYourOwn region were reviewed; Pickens is covered by official/statewide and Bama Beef sources despite no PickYourOwn section.
