review_id,farm_name,normalized_name,decision,evidence_grade,verified_entity_type,county_equivalent,city,postal_code,products,business_types,website_url,source_url,retrieved_date,decision_basis,notes,target_normalized_name,exclusion_reason,supersedes_review_id
alreview_20260715_001,HILLCREST FARMS,hillcrest farms,merge,B,farm,Baldwin,Elberta,,,Agritourism; U-pick,,https://agi.alabama.gov/farmersmarket/locations/u-pick-location-map/,2026-07-15,"Same city, county, phone, and email as Hillcrest Farm; pluralization is the only identity difference.",Merge the U-pick observation into the farm entity.,hillcrest farm,,
alreview_20260715_002,MARSH FARMS,marsh farms,merge,B,farm,Blount,Cleveland,,,Agritourism; U-pick,,https://agi.alabama.gov/farmersmarket/locations/u-pick-location-map/,2026-07-15,Same Cleveland location and phone as Jerry Marsh Farm; the shorter map label is an alias.,Preserve both source observations under one entity.,jerry marsh farm,,
alreview_20260715_003,Nances Creek Farms,nances creek farms,merge,B,farm,Calhoun,Jacksonville,,,Agritourism,,https://www.sweetgrownalabama.org/posts/2025/08/27/fallfun,2026-07-15,Current statewide farm coverage uses singular and plural forms for the same Jacksonville farm and location.,Pluralization alias.,nances creek farm,,
alreview_20260715_004,Granite Knoll Farms,granite knoll farms,merge,B,farm,Chambers,Waverly,,,Farm,,https://agi.alabama.gov/farmersmarket/locations/u-pick-location-map/,2026-07-15,Same Waverly location and phone as Granite Knoll Farm; pluralization is the only identity difference.,Pluralization alias.,granite knoll farm,,
alreview_20260715_005,FORD FARMS PRODUCE,ford farms produce,merge,B,farm,Chilton,Clanton,,,Produce farm; Selma market channel,,https://wire.auburn.edu/content/ocm/2025/06/301115-ford-family-farms-partnership-with-hunger-solutions-institute.php,2026-07-15,Auburn identifies the owners as growing on their Chilton County farm and selling through the Selma market; shared phone and email confirm one operation.,Retain Selma as a market channel rather than a second farm.,ford farms,,
alreview_20260715_006,Sunshine Farms,sunshine farms,merge,B,farm,Chilton,Clanton,,,Peaches; strawberries; U-pick,https://jimdurbinfarms.com/,https://jimdurbinfarms.com/,2026-07-15,"Same city, phone, email, and farm-owned domain as J. Durbin Farms.",Sunshine is the U-pick brand/channel of the Durbin operation.,j durbin farms,,
alreview_20260715_007,SUNSHINE FARMS UPICK STRAWBERRY,sunshine farms upick strawberry,merge,B,farm,Chilton,Clanton,,,Strawberries; U-pick,https://jimdurbinfarms.com/,https://jimdurbinfarms.com/,2026-07-15,Same city and email as J. Durbin Farms and Sunshine Farms.,Merge the map label into the Durbin entity.,j durbin farms,,
alreview_20260715_008,HOLMESTEAD FARM COUNTRY STORE & MARKET,holmestead farm country store and market,merge,B,farm,Clay,Talladega,,,Farm products; U-pick,https://www.holmesteadfarm.com,https://www.holmesteadfarm.com,2026-07-15,"Same city, county, phone, email, and domain as Holmestead You Pick-We Pick Farm.",Store and U-pick labels are channels of one operation.,holmestead you pick we pick farm,,
alreview_20260715_009,CHAMBERS FARM,chambers farm,merge,B,farm,Cullman,Holly Pond,,,Farm products; U-pick,,https://agi.alabama.gov/farmersmarket/locations/u-pick-location-map/,2026-07-15,"Same city, county, phone, and email as Chambers Farms.",Singular/plural alias.,chambers farms,,
alreview_20260715_010,Steele Orchard's,steele orchards,merge,B,farm,Cullman,Cullman,,,Apples; orchard; U-pick,https://steeleorchard.com,https://steeleorchard.com,2026-07-15,"Same city, county, phone, email, and farm-owned site as Steele Orchard Inc.",Possessive/plural map label is an alias.,steele orchard,,
