entity_id,farm_name,normalized_name,entity_type,identity_decision,state,county_equivalent,city,postal_code,address_internal,public_location_classification,latitude,longitude,products,business_types,phone_internal,email_internal,contact_visibility,website_url,facebook_url,instagram_url,tiktok_url,on_farm_sales,farmers_market_sales,online_sales,local_delivery,u_pick,wholesale,farm_to_school,source_observation_count,source_observation_ids,source_names,source_urls,evidence_grades,last_retrieved,promotion_status,promotion_blockers,notes
AL-0D24EA7B75,BILLY GIBBONS FARM,billy gibbons farm,farm,merged_exact_name_reviewed,AL,Autauga,Prattville,36067,1158 County Road 42,public_business_address_reviewed_for_future_reduced_precision,,,Farm products; direct-to-consumer sales,Farm stand; direct-to-consumer,334-207-4425 | 334-320-7868,billygibbonsfarm@gmail.com,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,2,alobs_e20a7d10df3dbe74fe73 | alobs_38cc9131f6d3b104aad1,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,https://agi.alabama.gov/farmersmarket/wp-content/uploads/sites/9/2023/02/2026-statewide-redemption-sites.pdf | https://agi.alabama.gov/farmersmarket/locations/farmers-stand-location-map/,B,2026-07-15,promotion_eligible_reviewed,,Fields are selected by evidence grade; all underlying observations remain separately auditable.
AL-D520EADE9C,Brushwood Creek,brushwood creek,farm,unique_source_name_reviewed,AL,Autauga,Deatsville,36022,2132 County Road 85,public_business_address_reviewed_for_future_reduced_precision,32.5493301,-86.4399809,Goats Milk Soap and Lotions; Milk,Farm,,brushwoodcreekfarms@gmail.com,internal_until_public_use_review,https://brushwoodcreekfarm.com,https://www.facebook.com/brushwoodcreek,,,True,False,False,False,False,False,False,1,alobs_08fc8b07c522d64bc8e9,Sweet Grown Alabama — Farm members,https://www.sweetgrownalabama.org/find-sweet-grown,B,2026-07-15,promotion_eligible_reviewed,,Fields are selected by evidence grade; all underlying observations remain separately auditable.
AL-AF1BC0EB78,Camacho Bee Company,camacho bee company,farm,merged_exact_name_reviewed,AL,Autauga,Prattville,36067,165 Primrose Drive,public_business_address_reviewed_for_future_reduced_precision,32.4717675,-86.4547391,Bees; apiary products; Beeswax Products,Apiary / bee seller; Online Sales; Specialty Store; Farm,(334) 717-1521,naishacamacho@gmail.com,internal_until_public_use_review,https://www.camachobees.com,https://www.facebook.com/CamachoBees/,,,False,False,True,False,False,False,False,2,alobs_6cd0e019cfc563e0f1a0 | alobs_a96b850888f285b01f4a,Alabama Plant Protection — Beekeepers Selling Bees | Sweet Grown Alabama — Farm members,https://agi.alabama.gov/plantprotection/beeks-selling-bees/ | https://www.sweetgrownalabama.org/find-sweet-grown,B,2026-07-15,promotion_eligible_reviewed,,Fields are selected by evidence grade; all underlying observations remain separately auditable.
AL-441BA34907,CD FARM,cd farm,farm,unique_source_name_reviewed,AL,Autauga,Billingsley,36006,3731A Us Hwy 82,public_business_address_reviewed_for_future_reduced_precision,,,Farm products; direct-to-consumer sales,Farm stand; direct-to-consumer,205-615-7813,davidmaddox215@gmail.com,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,alobs_74793e59c487fa7ff8de,Alabama Farmers Market Authority — farm-stand map,https://agi.alabama.gov/farmersmarket/locations/farmers-stand-location-map/,B,2026-07-15,promotion_eligible_reviewed,,Fields are selected by evidence grade; all underlying observations remain separately auditable.
AL-764444E5A7,CD Farms,cd farms,farm,unique_source_name_reviewed,AL,Autauga,Autauga County service area,,,public_business_address_reviewed_for_future_reduced_precision,,,Farm products; direct-to-consumer sales,Farm stand,,,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,alobs_d60b5055112081dd1c10,Alabama FMA — 2026 statewide farm-stand roster,https://agi.alabama.gov/farmersmarket/wp-content/uploads/sites/9/2023/02/2026-statewide-redemption-sites.pdf,B,2026-07-15,promotion_eligible_reviewed,,Fields are selected by evidence grade; all underlying observations remain separately auditable.
AL-68212E3287,Chandler Farms,chandler farms,farm,unique_source_name_reviewed,AL,Autauga,Marbury,,,public_business_address_reviewed_for_future_reduced_precision,,,Beef; direct-to-consumer meat,Cattle farm; direct-sale beef,(334) 265-1867,,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,alobs_95a5baa2fabd41062f03,Alabama Cattlemen’s Association — Bama Beef Sales Directory,https://www.bamabeef.org/p/about/bama-beef-sales-directory,D,2026-07-15,promotion_eligible_reviewed,,Fields are selected by evidence grade; all underlying observations remain separately auditable.
AL-5F9B6CB150,Dixie Organics,dixie organics,farm,unique_source_name_reviewed,AL,Autauga,Marbury,36051,1550 County Road 446,public_business_address_reviewed_for_future_reduced_precision,32.707006,-86.5333636,Blueberries,Farm,(205) 515-5600,dixieorganicsllc@gmail.com,internal_until_public_use_review,,https://www.facebook.com/share/1FwpTSfPqw/?mibextid=wwXIfr,,,False,False,False,False,False,True,False,1,alobs_e5e630ccbba20f39747c,Sweet Grown Alabama — Farm members,https://www.sweetgrownalabama.org/find-sweet-grown,B,2026-07-15,promotion_eligible_reviewed,,Fields are selected by evidence grade; all underlying observations remain separately auditable.
AL-21A4C1283B,Jones Farm,jones farm,farm,merged_exact_name_reviewed,AL,Autauga,Prattville,36067,970 Eason Brown Road,public_business_address_reviewed_for_future_reduced_precision,32.6590087,-86.607522,Beef; direct-to-consumer meat; Beans; Peas; Chicken; Hay; Okra; Pork; Sweet Corn; Watermelon,Cattle farm; direct-sale beef; Farm,(205) 755-9414,jonesfarm.jj@gmail.com,internal_until_public_use_review,,https://www.facebook.com/nipntuckfarm,https://www.instagram.com/jones_nipntuckfarm/,,True,False,False,True,False,True,False,2,alobs_d1a3ce9fb510d9a875f5 | alobs_20fc3b8056d7efe31149,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,https://www.bamabeef.org/p/about/bama-beef-sales-directory | https://www.sweetgrownalabama.org/find-sweet-grown,B; D,2026-07-15,promotion_eligible_reviewed,,Fields are selected by evidence grade; all underlying observations remain separately auditable.
AL-5A63E75F61,Melina Hills Farm,melina hills farm,farm,unique_source_name_reviewed,AL,Autauga,Billingsley,36006,3462 US highway 82 West,public_business_address_reviewed_for_future_reduced_precision,,,"blueberries, chestnuts, cucumbers, figs, muscadine grapes, peaches, peppers, pomegranates, summer squash, tomatoes, Honey from hives on the farm, Fresh eggs, restrooms, picnic area you may bring your own food",U-pick; agritourism,205-280-8796,support@Melinahillsfarmapiary.com,internal_until_public_use_review,https://melinahillsfarmapiary.com/,,,,True,False,False,False,True,False,False,1,alobs_036161d7a10ab6debba2,PickYourOwn — Southeast Alabama,https://www.pickyourown.org/ALmontg.htm,D,2026-07-15,promotion_eligible_reviewed,,Fields are selected by evidence grade; all underlying observations remain separately auditable.
AL-ABBD10EBD7,Penton Farms,penton farms,farm,merged_cross_county_identity_reviewed,AL,Autauga,Verbena,36091,3595 County Road 57,public_business_address_reviewed_for_future_reduced_precision,32.7064555,-86.5597903,Farm products; direct-to-consumer sales; Peaches; vegetables; strawberries; pumpkins; U-Pick Fruit; Pumpkin Patch; Blueberries; Cantaloupe; Cucumbers; Lettuce; Okra; Peas; Peppers; Squash; Strawberries; Sweet Corn; Tomatoes; Watermelon; Pumpkins,Farm stand; direct-to-consumer; Farm; U-pick; farmers-market seller; Agritourism,(205) 351-1479,pentonfarms@gmail.com,internal_until_public_use_review,,https://www.facebook.com/pentonfarms/,https://www.instagram.com/penton_farms/,,True,True,False,False,True,True,False,3,alobs_b55b72013703e6474289 | alobs_b16ea74048c33a648bd9 | alobs_08c32577b3aff740c75a,Alabama Farmers Market Authority — farm-stand map | FarmFinder curator verification — farm-owned or authoritative evidence | Sweet Grown Alabama — Farm members,https://agi.alabama.gov/farmersmarket/locations/farmers-stand-location-map/ | https://pentonfarms.com/ | https://www.sweetgrownalabama.org/find-sweet-grown,B; C,2026-07-15,promotion_eligible_reviewed,,Fields are selected by evidence grade; all underlying observations remain separately auditable.
