review_id,farm_name,normalized_name,decision,evidence_grade,verified_entity_type,county_equivalent,city,postal_code,products,business_types,website_url,source_url,retrieved_date,decision_basis,notes,target_normalized_name,exclusion_reason,supersedes_review_id
cororeview_68ae7df270f8b0137531,Jamison Farm,jamison farm,corroborate,C,farm,Howard,Nashville,71852,U-pick crops; agritourism,U-pick; agritourism,,https://arkansasgrown.org/listing/jamison-orchard/,2026-07-15,"The candidate matches an independently collected Arkansas Department of Agriculture — Arkansas Grown directory record by phone_internal and county_equivalent, city, postal_code; the name similarity is 0.741.",Accepted by curator after verifying the cited peer's authoritative source observation and matching contact and geography.,,,
cororeview_06be16731dc30f3dc926,Triple M Farm,triple m farm,corroborate,C,farm,Ashley,Hamburg,71646,U-pick crops; agritourism,U-pick; agritourism,,https://arkansasgrown.org/listing/triple-m-farm-of-ashley-co/,2026-07-15,"The candidate matches an independently collected Arkansas Department of Agriculture — Arkansas Grown directory record by phone_internal, email_internal and county_equivalent, city; the name similarity is 0.667.",Accepted by curator after verifying the cited peer's authoritative source observation and matching contacts and geography.,,,
cororeview_d479ff3792e8d896def1,Sacred Hollow Farm,sacred hollow farm,corroborate,C,farm,Benton,Lowell,72745,U-pick crops; agritourism,U-pick; agritourism,https://www.sacredhollowfarm.com/,https://www.sacredhollowfarm.com/,2026-07-17,"A farm-owned website returned current-year activity language near sales, season, ordering, harvest, visiting, or availability terms; three hashed fetch attempts were retained for curator review.",Accepted by curator after reviewing three SHA-256 fetch hashes and the cited 2026 active excerpt.,,,
cororeview_e494a25b0d0c77262b,Sta-n-Step Blueberry Farm,sta n step blueberry farm,corroborate,C,farm,Washington,Fayetteville,72704,U-pick crops; agritourism,U-pick; agritourism,,https://arkansasgrown.org/listing/sta-n-step-farm/,2026-07-15,"The candidate matches an independently collected Arkansas Department of Agriculture — Arkansas Grown directory record by phone_internal, email_internal and county_equivalent, city; the name similarity is 0.800.",Accepted by curator after verifying the cited peer's authoritative source observation and matching contacts and geography.,,,
policyreview_20260717_ar-5f843b6c52,"Riceland Foods, Inc.",riceland foods,corroborate,B,farm,Arkansas,Stuttgart,72160,,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/riceland-foods-inc/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/riceland-foods-inc/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-de5634948e,Norfork Brewing Company,norfork brewing,corroborate,B,farm,Baxter,Norfork,13980,Basil,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/norfork-brewing-company/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/norfork-brewing-company/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-35ebaeac60,Grow NWA,grow nwa,corroborate,B,farm,Benton,Bentonville,,"Lettuces—Variety, Microgreens",Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/grow-nwa/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/grow-nwa/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-3a1cd2fb81,Little Portion Bakery,little portion bakery,corroborate,B,farm,Carroll,Berryville,72616,Chicken,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/little-portion-bakery/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/little-portion-bakery/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-0ff72bee07,Sunrise Fisheries,sunrise fisheries,corroborate,B,farm,Chicot,Lake Village,,Fish,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/sunrise-fisheries/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/sunrise-fisheries/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-ef51580bd0,Barnyard Friends,barnyard friends,corroborate,B,farm,Conway,Morrilton,72110,Hay,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/barnyard-friends/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/barnyard-friends/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-207e0d1be7,Conway Farmers Market,conway farmers market,corroborate,B,farm,Faulkner,Conway,72032,,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/conway-farmers-market/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/conway-farmers-market/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-048b5113c2,Christmas Tree Lane and The Christmas Cabin,christmas tree lane and the christmas cabin,corroborate,B,farm,Franklin,Ozark,72949,Christmas Trees,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/christmas-tree-lane-and-the-christmas-cabin/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/christmas-tree-lane-and-the-christmas-cabin/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-6822a94d8b,Post Familie Vineyards,post familie vineyards,corroborate,B,farm,Franklin,Altus,72821,"Grapes, Wine",Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/post-familie-vineyards/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/post-familie-vineyards/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-5e41875c5a,"Wiederkehr Wine Cellars, Inc.",wiederkehr wine cellars,corroborate,B,farm,Franklin,Wiederkehr Village,,"Grapes, Wine",Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/wiederkehr-wine-cellars-inc/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/wiederkehr-wine-cellars-inc/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-658b87ab1a,The Herb Square LLC,the herb square,corroborate,B,farm,Hot Spring,Malvern,,Herbs,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/the-herb-square-llc/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/the-herb-square-llc/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-e49a8d73cb,"Cindy's Pecan Goodies, LLC",cindys pecan goodies,corroborate,B,farm,Jackson,Newport,,Pecans,Arkansas Grown member,http://cindyspecangoodies.com,https://arkansasgrown.org/listing/cindys-pecan-goodies-llc/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/cindys-pecan-goodies-llc/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-ace8d4720f,Farmers Elevator and Warehouse,farmers elevator and warehouse,corroborate,B,farm,Jackson,Newport,72112,Seeds,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/farmers-elevator-and-warehouse/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/farmers-elevator-and-warehouse/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-490218b81f,Marianna Farmers Market,marianna farmers market,corroborate,B,farm,Lee,Marianna,,,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/marianna-farmers-market/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/marianna-farmers-market/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-938a9c9e1d,Little River County Farmers Market,little river county farmers market,corroborate,B,farm,Little River,Ashdown,71822,Banana Peppers - Varietys,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/little-river-county-farmers-market/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/little-river-county-farmers-market/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-d0cd578d59,York Pecan Company,york pecan,corroborate,B,farm,Little River,Foreman,71836,Pecans,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/york-pecan-company/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/york-pecan-company/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
policyreview_20260717_ar-05c6ca6596,Skycrest Restaurant,skycrest restaurant,corroborate,B,farm,Logan,Paris,72855,Tomatoes,Arkansas Grown member,https://arfarmtoschool.org,https://arkansasgrown.org/listing/skycrest-restaurant/,2026-07-15,"Owner-ratified national rule in 01-database/state-expansion-and-verification.md (Record and field verification): a current-year candidate-tier official state department of agriculture directory listing that classifies the operation as a farm, grower, or producer is sufficient grade-B farm-scope evidence.","Applied to the current Arkansas Department of Agriculture — Arkansas Grown directory listing at https://arkansasgrown.org/listing/skycrest-restaurant/. This append-only decision clears only the farm-operation-evidence scope clause; missing products, geography, outreach, identity, status, and other required-field blockers remain. Non-official member/vendor directories remain in the corroboration lane.",,,
