entity_id,farm_name,normalized_name,entity_type,identity_decision,state,county_equivalent,city,postal_code,address_internal,public_location_classification,latitude,longitude,products,business_types,phone_internal,email_internal,contact_visibility,website_url,facebook_url,instagram_url,tiktok_url,on_farm_sales,farmers_market_sales,online_sales,local_delivery,u_pick,wholesale,farm_to_school,source_observation_count,source_observation_ids,source_names,source_urls,evidence_grades,last_retrieved,promotion_status,promotion_blockers,notes
AR-D7559C2032,America's Village Farmers Market,americas village farmers market,farm,unique_source_name_reviewed,AR,,,,,public_business_address_reviewed_for_future_reduced_precision,,,"Fruits, Vegetables",Arkansas Grown member,724-323-2856,Tom.Smith@wilsonarkansas.com,internal_until_public_use_review,https://arfarmtoschool.org,https://www.facebook.com/visitwilson/,https://www.instagram.com/visitwilson/,,False,False,False,False,False,False,False,1,arobs_f4d061cad8b32fbed392,Arkansas Department of Agriculture — Arkansas Grown directory,https://arkansasgrown.org/listing/americas-village-farmers-market/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.
AR-80FC09410B,Attic to Art,attic to art,farm,unique_source_name_reviewed,AR,,,,,public_business_address_reviewed_for_future_reduced_precision,,,"Honey, Other",Arkansas Grown member,501-231-3232,Attictoart@gmail.com,internal_until_public_use_review,https://arfarmtoschool.org,https://www.facebook.com/AttictoArt,https://www.instagram.com/arkansasgrownandmade/,,False,False,False,False,False,False,False,1,arobs_aec688e3bfb113d9230e,Arkansas Department of Agriculture — Arkansas Grown directory,https://arkansasgrown.org/listing/attic-to-art/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.
AR-6BCEE29FFF,Baba's Oasis,babas oasis,farm,unique_source_name_reviewed,AR,,,,,public_business_address_reviewed_for_future_reduced_precision,,,arugula; beets; broccoli; brussels sprouts; cabbage; carrots; cauliflower; celery; chinese greens; collards; dry beans; edamame soybeans; kale; kohlrabi; leeks; lettuce; mushrooms; onions; parsnips; peas; potatoes; radishes; salad greens; salad mix; spinach; swiss chard; turnips; winter-squash; apples; bananas; cherries; dates; guavas; lemons; limes; mangos; nectarines; olives; oranges; papayas; peaches; pears; persimmons; plums; rhubarb; tangerines; tropicals; eggs; preserves; medicinal herbs; luffa; seeds; sweet corn; cucumber; garlic; green beans; green onions; eggplant; hot peppers; mustard greens; okra; shallots; summer squash; sweet peppers; sweet potatoes; tomatillos; tomatoes; zucchini; blackberries; blueberries; cantaloupes; figs; grapes; melons; raspberries; strawberries; watermelons; honey; Meyer Lemon of California's Central Coast; Moon & Stars Watermelon; Pawpaw; Puebla Avocado; Yellow-Meated Watermelon; Plymouth Rock Chicken; Amish Paste Tomato; Bull Nose Large Bell pepper; Cherokee Purple Tomato; Fish Pepper; German Pink Tomato; Radiator Charlie's Mortgage Lifter Tomato,LocalHarvest Family Farm,(901) 601-2239,,internal_until_public_use_review,https://babasoasis.org,http://www.facebook.com/BabasOasisMphs,,,True,False,False,False,False,False,False,1,arobs_162e945875334e9feb99,LocalHarvest — Arkansas county-seat gap search,https://www.localharvest.org/babas-oasis-M65475,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.
AR-D5FAC4DFDF,bam,bam,farm,unique_source_name_reviewed,AR,,Scott,,,public_business_address_reviewed_for_future_reduced_precision,,,beef; jerky; pork; eggs; pet food; soap,LocalHarvest Family Farm,,,internal_until_public_use_review,https://www.arkansasfarmtotable.com,,,,True,False,False,False,False,False,False,1,arobs_4844851d5be2b89e6cbb,LocalHarvest — Arkansas county-seat gap search,https://www.localharvest.org/bam-M29620,D,2026-07-15,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
AR-60BED42622,Blooming Hope Mushroom Farm,blooming hope mushroom farm,farm,unique_source_name_reviewed,AR,,,,,public_business_address_reviewed_for_future_reduced_precision,,,Mushrooms,Arkansas Grown member,,bhmushrooms@gmail.com,internal_until_public_use_review,https://arfarmtoschool.org,http://www.facebook.com/BHMushrooms,https://www.instagram.com/bhmushrooms,,False,False,False,False,False,False,False,1,arobs_c90c39ee09f0f0be02f7,Arkansas Department of Agriculture — Arkansas Grown directory,https://arkansasgrown.org/listing/blooming-hope-mushroom-farm/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.
AR-4FAB25C04C,Bluff City CSA,bluff city csa,farm,unique_source_name_reviewed,AR,,,,,public_business_address_reviewed_for_future_reduced_precision,,,arugula; beets; broccoli; brussels sprouts; cabbage; carrots; cauliflower; chinese greens; collards; eggplant; garlic; green beans; green onions; hot peppers; kale; kohlrabi; leeks; lettuce; mustard greens; onions; peas; potatoes; radishes; salad greens; salad mix; shallots; spinach; sweet peppers; sweet potatoes; swiss chard; tomatoes; turnips; winter-squash; strawberries; artichokes; asparagus; celery; sweet corn; cucumber; okra; summer squash; tomatillos; zucchini; blueberries; watermelons; fresh flowers; Aunt Ruby's German Green Tomato; Cherokee Purple Tomato; Chiltepin Pepper; Speckled Lettuce,LocalHarvest Family Farm,,,internal_until_public_use_review,https://bluffcitycsa.farm,http://www.facebook.com/bluffcitycsa,https://instagram.com/bluffcitycsa,,True,False,False,False,False,False,False,1,arobs_ab6905ac24e540938bbf,LocalHarvest — Arkansas county-seat gap search,https://www.localharvest.org/bluff-city-csa-M84763,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.
AR-F21C15F63F,CC'S Freeze Dried Pantry,ccs freeze dried pantry,farm,unique_source_name_reviewed,AR,,,,,public_business_address_reviewed_for_future_reduced_precision,,,Fruits,Arkansas Grown member,501-766-3853,ccsfreezedriedpantry@gmail.com,internal_until_public_use_review,https://arfarmtoschool.org,https://www.facebook.com/groups/696541234510327,https://www.instagram.com/arkansasgrownandmade/,,False,False,False,False,False,False,False,1,arobs_7e7e6e55cfb61fca6c47,Arkansas Department of Agriculture — Arkansas Grown directory,https://arkansasgrown.org/listing/ccs-freeze-dried-pantry/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.
AR-649203128B,Chefnyak Spices,chefnyak spices,producer_requires_type_review,unique_source_name_reviewed,AR,,,,,public_business_address_reviewed_for_future_reduced_precision,,,,Arkansas Grown member,479-903-2415,chefnyak@yahoo.com,internal_until_public_use_review,https://arfarmtoschool.org,https://www.facebook.com/Chefnyak,https://www.instagram.com/arkansasgrownandmade/,,False,False,False,False,False,False,False,1,arobs_cacb271e8d9aad0829d4,Arkansas Department of Agriculture — Arkansas Grown directory,https://arkansasgrown.org/listing/chefnyak-spices/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; products or farm activity missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
AR-57FDB99996,Childers Farm to Table Arkansas,childers farm to table arkansas,farm,unique_source_name_reviewed,AR,,,,,public_business_address_reviewed_for_future_reduced_precision,,,"Beef, Pork",Arkansas Grown member,409-540-0710,,internal_until_public_use_review,https://arfarmtoschool.org,https://www.facebook.com/groups/873164693538988,https://www.instagram.com/arkansasgrownandmade/,,False,False,False,False,False,False,False,1,arobs_ce29df92d2461dbf85f5,Arkansas Department of Agriculture — Arkansas Grown directory,https://arkansasgrown.org/listing/childers-farm-to-table-arkansas/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.
AR-7140EB8F94,Comeback Creek Farm,comeback creek farm,farm,unique_source_name_reviewed,AR,,,,,public_business_address_reviewed_for_future_reduced_precision,,,arugula; broccoli; cabbage; cauliflower; chinese greens; collards; kale; kohlrabi; lettuce; mustard greens; radishes; rutabagas; sweet potatoes; swiss chard; turnips; winter-squash; eggs; beets; carrots; cucumber; green beans; green onions; onions; peas; potatoes; salad greens; salad mix; spinach; summer squash; tomatoes; blueberries; peaches; strawberries; sweet corn; eggplant; hot peppers; okra; sweet peppers; tomatillos; zucchini; cantaloupes; melons; watermelons; pumpkins; Amish Deer Tongue Lettuce; Bull Nose Large Bell pepper; Cherokee Purple Tomato; Djena Lee's Golden Girl Tomato; Jimmy Nardello's Sweet Italian Frying pepper; Speckled Lettuce,LocalHarvest Family Farm,,,internal_until_public_use_review,https://www.comebackcreek.com,,https://instagram.com/comebackcreekfarm,,True,False,False,False,False,False,False,1,arobs_04c83b665cd6a940217e,LocalHarvest — Arkansas county-seat gap search,https://www.localharvest.org/comeback-creek-farm-M31706,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.
