entity_id,farm_name,normalized_name,entity_type,identity_decision,state,county_equivalent,city,postal_code,address_internal,public_location_classification,latitude,longitude,products,business_types,phone_internal,email_internal,contact_visibility,website_url,facebook_url,instagram_url,tiktok_url,on_farm_sales,farmers_market_sales,online_sales,local_delivery,u_pick,wholesale,farm_to_school,source_observation_count,source_observation_ids,source_names,source_urls,evidence_grades,last_retrieved,promotion_status,promotion_blockers,notes
FL-4E01BD1C31,47 Farms,47 farms,farm,unique_source_name_reviewed,FL,,,,,public_business_address_reviewed_for_future_reduced_precision,,,,Florida producer profile,,,internal_until_public_use_review,,,,,False,False,True,False,False,False,False,1,flobs_277ccc79ce471878ecc4,Florida Department of Agriculture and Consumer Services — Florida Farm to You producer directory,https://flfarmtoyou.com/producer/47-farms/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; products or farm activity missing,Fields selected by evidence grade; every source observation remains separately auditable.
FL-B829CD43F4,"Academy Services, Inc.",academy services,producer_requires_type_review,unique_source_name_reviewed,FL,,,,,public_business_address_reviewed_for_future_reduced_precision,,,Horticulture,Florida producer profile,,,internal_until_public_use_review,,,,,False,False,True,False,False,False,False,1,flobs_259117ce4d0b05c4fb7b,Florida Department of Agriculture and Consumer Services — Florida Farm to You producer directory,https://flfarmtoyou.com/producer/academy-services-inc/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
FL-A39E812DED,AITC,aitc,producer_requires_type_review,unique_source_name_reviewed,FL,,,,,public_business_address_reviewed_for_future_reduced_precision,,,,Florida producer profile,,,internal_until_public_use_review,,,,,False,False,True,False,False,False,False,1,flobs_a3fa8c8831be2b37371b,Florida Department of Agriculture and Consumer Services — Florida Farm to You producer directory,https://flfarmtoyou.com/producer/aitc/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; products or farm activity missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
FL-9013060D29,Argoalliance LLC,argoalliance llc,producer_requires_type_review,unique_source_name_reviewed,FL,,,,,public_business_address_reviewed_for_future_reduced_precision,,,,Florida producer profile,,,internal_until_public_use_review,,,,,False,False,True,False,False,False,False,1,flobs_8249873cfb7e7352e57b,Florida Department of Agriculture and Consumer Services — Florida Farm to You producer directory,https://flfarmtoyou.com/producer/argoalliance-llc/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; products or farm activity missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
FL-75997DC419,B.E.E Happy,b e e happy,producer_requires_type_review,unique_source_name_reviewed,FL,,,,,public_business_address_reviewed_for_future_reduced_precision,,,,Florida producer profile,,,internal_until_public_use_review,,,,,False,False,True,False,False,False,False,1,flobs_909e210405015b72a9a8,Florida Department of Agriculture and Consumer Services — Florida Farm to You producer directory,https://flfarmtoyou.com/producer/b-e-e-happy/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; products or farm activity missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
FL-AB7AE89DB4,Balaji fruit,balaji fruit,producer_requires_type_review,unique_source_name_reviewed,FL,,,,,public_business_address_reviewed_for_future_reduced_precision,,,,Florida producer profile,,,internal_until_public_use_review,,,,,False,False,True,False,False,False,False,1,flobs_92153b9f7c16a4103c8c,Florida Department of Agriculture and Consumer Services — Florida Farm to You producer directory,https://flfarmtoyou.com/producer/balaji-fruit/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; products or farm activity missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
FL-2FDE932DAC,Bishal Construction Corp,bishal construction corp,producer_requires_type_review,unique_source_name_reviewed,FL,,Brooklyn,11218,"333 Mcdonald Ave Apt 2p, 2p",public_business_address_reviewed_for_future_reduced_precision,,,,Florida producer profile,19174708091,Bishalconstruction@gmail.com,internal_until_public_use_review,,,,,False,False,True,False,False,False,False,1,flobs_554bd06d2909a440cd25,Florida Department of Agriculture and Consumer Services — Florida Farm to You producer directory,https://flfarmtoyou.com/producer/bishal-agro/,B,2026-07-15,research_or_qa_queue,county missing; products or farm activity missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
FL-7A1A00387D,Boys & Girls Club of Manatee County,boys and girls club of manatee county,producer_requires_type_review,unique_source_name_reviewed,FL,,,,,public_business_address_reviewed_for_future_reduced_precision,,,,Florida producer profile,,,internal_until_public_use_review,,,,,False,False,True,False,False,False,False,1,flobs_329f920f89c66e9902ba,Florida Department of Agriculture and Consumer Services — Florida Farm to You producer directory,https://flfarmtoyou.com/producer/boys-girls-club-of-manatee-county/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; products or farm activity missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
FL-96F0C97875,Caja Organica,caja organica,producer_requires_type_review,unique_source_name_reviewed,FL,,,,,public_business_address_reviewed_for_future_reduced_precision,11.4700989,-86.1249245,,US Farm Trail discovery record,,,internal_until_public_use_review,,,,,False,False,False,False,False,False,False,1,flobs_aee331cc9e683cde1809,US Farm Trail — Florida discovery export,https://www.usfarmtrail.com/farms/caja-organica,E,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; products or farm activity missing; single grade-E discovery listing needs corroboration; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
FL-1BD18DC6CE,Calusa Oyster Company,calusa oyster,producer_requires_type_review,unique_source_name_reviewed,FL,,,,,public_business_address_reviewed_for_future_reduced_precision,,,,Florida producer profile,,,internal_until_public_use_review,,,,,False,False,True,False,False,False,False,1,flobs_52bd9fccfa5cc85fa53a,Florida Department of Agriculture and Consumer Services — Florida Farm to You producer directory,https://flfarmtoyou.com/producer/calusa-oyster-company/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; products or farm activity missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
