entity_id,farm_name,normalized_name,entity_type,identity_decision,state,county_equivalent,city,postal_code,address_internal,public_location_classification,latitude,longitude,products,business_types,phone_internal,email_internal,contact_visibility,website_url,facebook_url,instagram_url,tiktok_url,on_farm_sales,farmers_market_sales,online_sales,local_delivery,u_pick,wholesale,farm_to_school,source_observation_count,source_observation_ids,source_names,source_urls,evidence_grades,last_retrieved,promotion_status,promotion_blockers,notes
GA-F1B5D84A92,2BlackBeekeepers,2blackbeekeepers,producer_requires_type_review,unique_source_name_reviewed,GA,,,,,public_business_address_reviewed_for_future_reduced_precision,,,Other Products; Soap & Body Care,Other Products,(770) 231-8949,2blackbeekeepers@gmail.com,internal_until_public_use_review,http://2blackbeekeepers.com,https://facebook.com/share/16ctap7AsZ/?mibextid=wwXIfr,https://instagram.com/2BlackBeekeepers,,False,False,False,False,False,False,False,1,gaobs_d61088a783d64e354c06,Georgia Department of Agriculture — Georgia Grown member directory,https://georgiagrown.com/member/2blackbeekeepers/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
GA-7BDEB0DE17,[PICKLES] By Evergreen & Market,pickles by evergreen and market,farm,unique_source_name_reviewed,GA,,Atlanta,30318,"Atlantapickles.com, 1385 Collier Road, Unit 7",public_business_address_reviewed_for_future_reduced_precision,,,Retail; Farmers Markets; Grocery; Specialty Store; Distributor/Broker; Dry Goods & Specialty Foods; Fruit & Vegetable; General Line; Organic; Gourmet Food & Beverage; Other Artisanal Products; Other Gourmet Foods; Pickles & Relish; Agritourism; Outdoor Activities; Pick Your Own; Other Products; Other Products: Non-Agriculture; Specialty Gifts & Baskets,"Fruits & Vegetables, Forestry Products, Restaurants, Retail, Distributor/Broker, Gourmet Food & Beverage, Horticulture, Agritourism, Other Products",(678) 799-6327,info@evergreenandmarket.com,internal_until_public_use_review,https://atlantapickles.com,http://facebook.com/evergreenandmarket,http://instagram.com/evergreenandmarket,,True,False,False,False,True,False,False,1,gaobs_419a6611f27438e1183d,Georgia Department of Agriculture — Georgia Grown member directory,https://georgiagrown.com/member/pickles-by-evergreen--market/,B,2026-07-15,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
GA-BFB8F696C2,A Bar W Enterprises,a bar w enterprises,producer_requires_type_review,unique_source_name_reviewed,GA,,,,,public_business_address_reviewed_for_future_reduced_precision,,,Retail; Specialty Store; Business Services; Marketing & PR; Other Products; Other Products: Non-Agriculture; Specialty Gifts & Baskets,"Retail, Business Services, Other Products",(678) 758-8764,abarwent@gmail.com,internal_until_public_use_review,http://www.abarwenterprises.com,http://facebook.com/ABarWEnterprises,http://www.instagram.com/abarwenterprises,,False,False,True,False,False,False,False,1,gaobs_b915360d2648632ce69e,Georgia Department of Agriculture — Georgia Grown member directory,https://georgiagrown.com/member/a-bar-w-enterprises/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
GA-8960AB27C9,A&J Farm,a and j farm,farm,unique_source_name_reviewed,GA,,Pine Mountain,31822,,public_business_address_reviewed_for_future_reduced_precision,,,U-pick crops; agritourism,U-pick; agritourism,706-663-8352,ajfarms34@aol.com,internal_until_public_use_review,,,,,True,False,False,False,True,False,False,1,gaobs_4d69e0b27db85fc5d98e,PickYourOwn — Macon area,https://www.pickyourown.org/GAmacon.htm,E,2026-07-15,research_or_qa_queue,county missing; single grade-E discovery listing needs corroboration; source reports closure and requires affirmative curator decision,Fields selected by evidence grade; every source observation remains separately auditable.
GA-F480CB85CA,"Acorn Brow, LLC",acorn brow,producer_requires_type_review,unique_source_name_reviewed,GA,,,,,public_business_address_reviewed_for_future_reduced_precision,,,Fruits & Vegetables; Blackberries; Blueberries; Satsuma Oranges,Fruits & Vegetables,(229)392-0456,cmock@mchsi.com,internal_until_public_use_review,,,,,False,False,False,False,False,False,False,1,gaobs_76d68dcc16e23cdb87db,Georgia Department of Agriculture — Georgia Grown member directory,https://georgiagrown.com/member/acorn-brow-llc/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
GA-C51B21BF64,Aggie's Unique Kitchen,aggies unique kitchen,producer_requires_type_review,unique_source_name_reviewed,GA,,,,,public_business_address_reviewed_for_future_reduced_precision,,,Gourmet Food & Beverage; Candy & Desserts,Gourmet Food & Beverage,(470) 964-1032,bakery@aggiesuniquekitchen.com,internal_until_public_use_review,https://www.aggiesuniquekitchen.com,https://facebook.com/AggiesUniqueKitchen/,https://www.instagram.com/aggiesuniquekitchen,,False,False,True,False,False,False,False,1,gaobs_369f858b7e832639a26c,Georgia Department of Agriculture — Georgia Grown member directory,https://georgiagrown.com/member/aggies-unique-kitchen/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
GA-1DBC26E0CB,Amor Vida,amor vida,producer_requires_type_review,unique_source_name_reviewed,GA,,,,,public_business_address_reviewed_for_future_reduced_precision,,,Other Products; Other Products: Non-Agriculture,Other Products,(770) 881-6420,contactamorvida@gmail.com,internal_until_public_use_review,https://www.shopamorvida.com,,https://www.instagram.com/shop.amorvida,,False,False,False,False,False,False,False,1,gaobs_f364bdd3e64c77a7a21f,Georgia Department of Agriculture — Georgia Grown member directory,https://georgiagrown.com/member/amor-vida/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
GA-129C3E9F70,Arbordale Farms,arbordale farms,farm,unique_source_name_reviewed,GA,,Meigs,31765,32275 Hwy 19 North,public_business_address_reviewed_for_future_reduced_precision,,,Fruits & Vegetables; Citrus,Fruits & Vegetables,,info@arbordalecitrus.com,internal_until_public_use_review,http://arbordalecitrus.com,http://facebook.com/ArbordaleFarmsCitrus,https://www.instagram.com/arbordalefarms/,,False,False,False,False,False,False,False,1,gaobs_774554fe699003f5b5c4,Georgia Department of Agriculture — Georgia Grown member directory,https://georgiagrown.com/member/arbordale-farms/,B,2026-07-15,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
GA-B5DA8AADC0,Art + Honey Co. By PCS LLC,art honey co by pcs,producer_requires_type_review,unique_source_name_reviewed,GA,,,,,public_business_address_reviewed_for_future_reduced_precision,,,Retail; Specialty Store; Gourmet Food & Beverage; Honey & Syrups; Other Products; Other Products: Non-Agriculture; Soap & Body Care; Specialty Gifts & Baskets,"Retail, Gourmet Food & Beverage, Other Products",(678) 523-5310,art.honeycobypcsllc@gmail.com,internal_until_public_use_review,http://www.artplushoneycobypcs.com,https://www.facebook.com/share/16v8wumMSz/?mibextid=wwXIfr,https://www.instagram.com/mos_garden?utm_source=qr,,False,False,True,False,False,False,False,1,gaobs_a100e3b6df99a5e71588,Georgia Department of Agriculture — Georgia Grown member directory,https://georgiagrown.com/member/art--honey-co-by-pcs-llc/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
GA-5FC55B9AEB,Art By Kirsten,art by kirsten,producer_requires_type_review,unique_source_name_reviewed,GA,,,,,public_business_address_reviewed_for_future_reduced_precision,,,Retail; Specialty Store,Retail,(615) 473-5070,kirstenkozaart@gmail.com,internal_until_public_use_review,https://kirstenkozaart.etsy.com,https://www.facebook.com/people/Art-By-Kirsten-Koza/100083198384365/?paipv=0&eav=AfbbP63C4j9VrsfM9PRZcbeDuZH0TRxfgepgQLtznK7obA2iXnb5gL-A1P6k2qRgrL0&_rdr,https://www.instagram.com/artbykirstenkoza/,,False,False,False,False,False,False,False,1,gaobs_5b13208014a247dac91f,Georgia Department of Agriculture — Georgia Grown member directory,https://georgiagrown.com/member/art-by-kirsten/,B,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing; directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; every source observation remains separately auditable.
