review_id,farm_name,normalized_name,decision,evidence_grade,verified_entity_type,county_equivalent,city,postal_code,products,business_types,website_url,source_url,retrieved_date,decision_basis,notes,target_normalized_name,exclusion_reason,supersedes_review_id
qa-judgment-20260717-la-07a0d09a5b,Woerner Agribusiness LLC,woerner agribusiness,distinct,A,farm,Ascension,Donaldsonville,70346,"Nursery stock, cut flowers, or bulbs grown by the permit holder",Licensed nursery grower; NC1,,https://assets.ctfassets.net/pc5e1rlgfrov/6bRblalD03I36YRFk7xtGP/a3c8fc82041cb934b92123a77c11cf9a/Hort_Nursery_Certificate_List.pdf,2026-07-17,"The retained source record places Woerner Agribusiness LLC in Ascension / Donaldsonville; the peer entity set is LA-8F2EC133D5 (East Feliciana, Ethel). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-la-2fb166174d,Bradley,bradley,distinct,A,farm,Caddo,Shreveport,71118,"Nursery stock, cut flowers, or bulbs grown by the permit holder",Licensed nursery grower; NC2,,https://assets.ctfassets.net/pc5e1rlgfrov/6bRblalD03I36YRFk7xtGP/a3c8fc82041cb934b92123a77c11cf9a/Hort_Nursery_Certificate_List.pdf,2026-07-17,"The retained source record places Bradley in Caddo / Shreveport; the peer entity set is LA-91BB959EC0 (St. Tammany, Abita Springs). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-la-a3b83d14c5,Louisiana Nursery,louisiana nursery,distinct,A,farm,Caddo,Keithville,71047,"Nursery stock, cut flowers, or bulbs grown by the permit holder",Licensed nursery grower; NC1,,https://assets.ctfassets.net/pc5e1rlgfrov/6bRblalD03I36YRFk7xtGP/a3c8fc82041cb934b92123a77c11cf9a/Hort_Nursery_Certificate_List.pdf,2026-07-17,"The retained source record places Louisiana Nursery in Caddo / Keithville; the peer entity set is LA-DA84185FE0 (St. Landry, Opelousas). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-la-8f2ec133d5,Woerner Agribusiness,woerner agribusiness,distinct,A,farm,East Feliciana,Ethel,70730,"Nursery stock, cut flowers, or bulbs grown by the permit holder",Licensed nursery grower; NC1,,https://assets.ctfassets.net/pc5e1rlgfrov/6bRblalD03I36YRFk7xtGP/a3c8fc82041cb934b92123a77c11cf9a/Hort_Nursery_Certificate_List.pdf,2026-07-17,"The retained source record places Woerner Agribusiness in East Feliciana / Ethel; the peer entity set is LA-07A0D09A5B (Ascension, Donaldsonville). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-la-a0947e27ea,Bayou Farm,bayou farm,distinct,D,farm,Evangeline,Ville Platte,70586,"At Bayou Farm, we believe in working with nature--the soil, microorganisms, and pasture plants--to produce healthy, delicious meats. We use management intensive grazing, moving our livestock in complementary rotations through our pastures, to optimize both animal and pasture plant performance. With this holistic farming model, we produce Pasture-raised Lamb and 100% Grass-fed Beef. We do not feed our animals antibiotics, growth stimulants (hormones), or other chemicals. Whole lamb shares and whole/half beef shares are available seasonally. Please email us or visit www.bayoufarm.com for more information. Members of the Louisiana Forage and Grasslands Council (LFGC), the Livestock Conservancy,",LocalHarvest Family Farm,https://www.bayoufarm.com,https://www.localharvest.org/bayou-farm-M53162,2026-07-17,"The retained source record places Bayou Farm in Evangeline / Ville Platte; the peer entity set is LA-45040FBEE7 (Acadia, Church Point). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-la-ea6b932148,Edible City Gardens,edible city gardens,distinct,D,farm,Jefferson,Jefferson,70121,arugula; broccoli; carrots; kale; lettuce; salad greens; salad mix; sweet peppers; tomatoes; zucchini; kumquats; strawberries; eggs; sprouts; seeds; cucumber; eggplant; parsnips; spinach; okra; blueberries; oranges; papayas; watermelons; beets; pumpkins; lemons; limes; mandarins; pears; tangerines,LocalHarvest Family Farm,https://www.EdibleCityGardens.com,https://www.localharvest.org/edible-city-gardens-M50277,2026-07-17,"The retained source record places Edible City Gardens in Jefferson / Jefferson; the peer entity set is LA-17286ED278 (Orleans, New Orleans). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-la-41211ef39c,Susan,susan,distinct,A,farm,Jefferson,Metairie,70003,"Nursery stock, cut flowers, or bulbs grown by the permit holder",Licensed nursery grower; NC2,,https://assets.ctfassets.net/pc5e1rlgfrov/6bRblalD03I36YRFk7xtGP/a3c8fc82041cb934b92123a77c11cf9a/Hort_Nursery_Certificate_List.pdf,2026-07-17,"The retained source record places Susan in Jefferson / Metairie; the peer entity set is LA-37FDB312E0 (Webster, Springhill). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-la-4281e0fee5,Yak's Produce,yaks produce,distinct,D,farm,Lincoln,Choudrant,71227,sweet corn; cucumber; eggplant; green beans; green onions; hot peppers; okra; onions; peas; potatoes; summer squash; sweet peppers; tomatoes; zucchini; blackberries; blueberries; cantaloupes; figs; melons; nectarines; peaches; pears; plums; raspberries; watermelons; peanuts; honey; gourds; luffa; broccoli; cabbage; cauliflower; chinese greens; collards; kale; leeks; mustard greens; pumpkins; spinach; sweet potatoes; swiss chard; turnips; winter-squash; apples; pecans; molasses,LocalHarvest Family Farm,,https://www.localharvest.org/yaks-produce-M32145,2026-07-17,"The retained source record places Yak's Produce in Lincoln / Choudrant; the peer entity set is LA-362631110B (Union, Farmerville). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-la-da84185fe0,Louisiana Nursery,louisiana nursery,distinct,A,farm,St. Landry,Opelousas,70570,"Nursery stock, cut flowers, or bulbs grown by the permit holder",Licensed nursery grower; NC1,,https://assets.ctfassets.net/pc5e1rlgfrov/6bRblalD03I36YRFk7xtGP/a3c8fc82041cb934b92123a77c11cf9a/Hort_Nursery_Certificate_List.pdf,2026-07-17,"The retained source record places Louisiana Nursery in St. Landry / Opelousas; the peer entity set is LA-A3B83D14C5 (Caddo, Keithville). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
qa-judgment-20260717-la-91bb959ec0,Bradley,bradley,distinct,A,farm,St. Tammany,Abita Springs,70420,"Nursery stock, cut flowers, or bulbs grown by the permit holder",Licensed nursery grower; NC2,,https://assets.ctfassets.net/pc5e1rlgfrov/6bRblalD03I36YRFk7xtGP/a3c8fc82041cb934b92123a77c11cf9a/Hort_Nursery_Certificate_List.pdf,2026-07-17,"The retained source record places Bradley in St. Tammany / Abita Springs; the peer entity set is LA-2FB166174D (Caddo, Shreveport). The differing county, city, address, phone, or email evidence does not establish one operation, so retain this candidate as explicitly distinct pending any stronger identity evidence.",Identity conflict resolved as distinct under the current evidence; future contrary evidence must append a superseding correction.,,,
