entity_id,farm_name,normalized_name,entity_type,identity_decision,state,county_equivalent,city,postal_code,address_internal,public_location_classification,latitude,longitude,products,business_types,phone_internal,email_internal,contact_visibility,website_url,facebook_url,instagram_url,tiktok_url,on_farm_sales,farmers_market_sales,online_sales,local_delivery,u_pick,wholesale,farm_to_school,source_observation_count,source_observation_ids,source_names,source_urls,evidence_grades,last_retrieved,canonical_record_ids,canonical_match_status,promotion_status,promotion_blockers,notes,operation_status_2026,operation_evidence_basis,operation_evidence_url,operation_evidence_date,farm_scope_status,operation_identity_status,countable_operation_2026
LA-1873D8D50E,Abiding Vines,abiding vines,farm,unique_source_name_reviewed,LA,,,,,public_business_address_reviewed_for_future_reduced_precision,,,"Welcome to Abiding Vines Urban Farm. We grow Non-GMO fruits and vegetables using organic and regenerative farming techniques to replenish the soil. We believe in working in harmony with God to serve our communities with nourishment for mind, body, and soul. We offer an 8 lb CSA box and have a family food assistance program as well. No matter what your circumstance you are able to get fresh produce for your family from Abiding Vines.",LocalHarvest Family Farm,(601) 454-1078,,internal_until_public_use_review,https://www.abidingvines.com,http://www.facebook.com/abidingviness,https://instagram.com/abidingvines,,True,False,False,False,False,False,False,1,laobs_dc1006cfdec524e3ff27,LocalHarvest — Louisiana county-seat gap search,https://www.localharvest.org/abiding-vines-M84562,D,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.,likely_operating_2026,Farm-owned website was reachable during the July 2026 evidence audit; reachability alone is not proof of current sales,https://abidingvines.com/,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,True
LA-FF1D4FC5DB,Alan Lawson,alan lawson,farm,unique_source_name_reviewed,LA,,,,,public_business_address_reviewed_for_future_reduced_precision,,,Louisiana crawfish,Crawfish farmer or fisherman supplier,337-566-8441,alawson@lawsonlandco.com,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,laobs_1a3bd0ed52c19cb3e3d4,Louisiana Crawfish Promotion and Research Board — suppliers,https://crawfish.org/user-profile/alan-lawson,B,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.,currently_listed_official_2026,Named farmer or fisherman supplier profile on the live Louisiana Crawfish Board directory retrieved in 2026,https://crawfish.org/user-profile/alan-lawson,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,True
LA-603B631BE3,Alvin Denais,alvin denais,farm,unique_source_name_reviewed,LA,,,,"Duson, LA",public_business_address_reviewed_for_future_reduced_precision,,,Louisiana crawfish,Crawfish farmer or fisherman supplier,337-984-2997,,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,laobs_09580ea9e5c78038c0bf,Louisiana Crawfish Promotion and Research Board — suppliers,https://crawfish.org/user-profile/alvin-denais,B,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.,currently_listed_official_2026,Named farmer or fisherman supplier profile on the live Louisiana Crawfish Board directory retrieved in 2026,https://crawfish.org/user-profile/alvin-denais,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,True
LA-F1E20CB891,Barrett Hardee Farms LLC,barrett hardee farms,farm,unique_source_name_reviewed,LA,,,,Louisiana,public_business_address_reviewed_for_future_reduced_precision,,,Louisiana crawfish,Crawfish farmer or fisherman supplier,337-643-6222,barrettjhardee@gmail.com,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,laobs_73a4cd3efdf806381884,Louisiana Crawfish Promotion and Research Board — suppliers,https://crawfish.org/user-profile/barrett-hardee-farms-llc,B,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.,currently_listed_official_2026,Named farmer or fisherman supplier profile on the live Louisiana Crawfish Board directory retrieved in 2026,https://crawfish.org/user-profile/barrett-hardee-farms-llc,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,True
LA-4DE1475CE0,Benjamin Ducote Crawfish Farms,benjamin ducote crawfish farms,farm,unique_source_name_reviewed,LA,,,,"Avoyelles, LA",public_business_address_reviewed_for_future_reduced_precision,,,Louisiana crawfish,Crawfish farmer or fisherman supplier,318-509-9166,,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,laobs_7dae4363eef514787272,Louisiana Crawfish Promotion and Research Board — suppliers,https://crawfish.org/user-profile/benjamin-ducote-crawfish-farms,B,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.,currently_listed_official_2026,Named farmer or fisherman supplier profile on the live Louisiana Crawfish Board directory retrieved in 2026,https://crawfish.org/user-profile/benjamin-ducote-crawfish-farms,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,True
LA-B68FFD45B9,Black Gold Farms,black gold farms,farm,unique_source_name_reviewed,LA,,Black Gold Farms Delhi,,,public_business_address_reviewed_for_future_reduced_precision,,,Louisiana sweet potatoes,Sweet-potato shipper or processor,(318) 878-5806,,internal_until_public_use_review,http://www.blackgoldfarms.com/,,,,False,False,False,False,False,False,False,1,laobs_25ed8d2739d03a972cf6,Louisiana Sweet Potato Commission — shippers and processors,https://www.sweetpotato.org/shippers,C,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.,unresolved_2026,No current operating evidence located,,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,False
LA-88E160569A,Bois de Figue Orchard,bois de figue orchard,farm,unique_source_name_reviewed,LA,,,,,public_business_address_reviewed_for_future_reduced_precision,,,figs,LocalHarvest Family Farm,(337) 831-6541,,internal_until_public_use_review,https://iwantfigs.com,,,,True,False,False,False,False,False,False,1,laobs_f80489886e83f679e54c,LocalHarvest — Louisiana county-seat gap search,https://www.localharvest.org/bois-de-figue-orchard-M76788,D,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.,likely_operating_2026,Farm-owned website was reachable during the July 2026 evidence audit; reachability alone is not proof of current sales,https://iwantfigs.com,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,True
LA-FD38F5BAB7,Caddo Springs Farm,caddo springs farm,farm,unique_source_name_reviewed,LA,,,,,public_business_address_reviewed_for_future_reduced_precision,,,"preserves; duck; lamb; turkey; eggs; pears; persimmons; American Bronze Turkey; Rhode Island Red Chicken, ""Old-Type""; St. Croix Sheep; Wild Catfish",LocalHarvest Family Farm,,,internal_until_public_use_review,https://www.caddospringstx.com,http://www.facebook.com/profile.php?id=100080063182266,,,True,False,False,False,False,False,False,1,laobs_d16665c43ee515120ea6,LocalHarvest — Louisiana county-seat gap search,https://www.localharvest.org/caddo-springs-farm-M83978,D,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.,unresolved_2026,No current operating evidence located,,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,False
LA-2A34A7B30D,Cm Farms LLC Of Dry Creek,cm farms llc of dry creek,farm,unique_source_name_reviewed,LA,,Dry Creek,70637,P.O. Box 313,public_business_address_reviewed_for_future_reduced_precision,,,Agritourism and farm activities; see LDAF certified operation description,Certified agritourism,337-328-8916,Jackie@cmfarmsllc.com,internal_until_public_use_review,https://www.cmfarmsllc.com,,,,False,False,False,False,False,False,False,1,laobs_ab16798e72f6087015d7,LDAF certified agritourism operations,https://assets.ctfassets.net/pc5e1rlgfrov/7B8yMZqsUPa8lLZSUToUtw/19d3206a6070dea80e63683408b1552e/agritourism-directory-2023.pdf,B,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.,likely_operating_2026,Farm-owned website was reachable during the July 2026 evidence audit; reachability alone is not proof of current sales,https://www.cmfarmsllc.com,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,True
LA-7140EB8F94,Comeback Creek Farm,comeback creek farm,farm,unique_source_name_reviewed,LA,,,,,public_business_address_reviewed_for_future_reduced_precision,,,arugula; broccoli; cabbage; cauliflower; chinese greens; collards; kale; kohlrabi; lettuce; mustard greens; radishes; rutabagas; sweet potatoes; swiss chard; turnips; winter-squash; eggs; beets; carrots; cucumber; green beans; green onions; onions; peas; potatoes; salad greens; salad mix; spinach; summer squash; tomatoes; blueberries; peaches; strawberries; sweet corn; eggplant; hot peppers; okra; sweet peppers; tomatillos; zucchini; cantaloupes; melons; watermelons; pumpkins; Amish Deer Tongue Lettuce; Bull Nose Large Bell pepper; Cherokee Purple Tomato; Djena Lee's Golden Girl Tomato; Jimmy Nardello's Sweet Italian Frying pepper; Speckled Lettuce,LocalHarvest Family Farm,,,internal_until_public_use_review,https://www.comebackcreek.com,,https://instagram.com/comebackcreekfarm,,True,False,False,False,False,False,False,1,laobs_75d819648e414aa67470,LocalHarvest — Louisiana county-seat gap search,https://www.localharvest.org/comeback-creek-farm-M31706,D,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.,unresolved_2026,No current operating evidence located,,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,False
