entity_id,farm_name,normalized_name,entity_type,identity_decision,state,county_equivalent,city,postal_code,address_internal,public_location_classification,latitude,longitude,products,business_types,phone_internal,email_internal,contact_visibility,website_url,facebook_url,instagram_url,tiktok_url,on_farm_sales,farmers_market_sales,online_sales,local_delivery,u_pick,wholesale,farm_to_school,source_observation_count,source_observation_ids,source_names,source_urls,evidence_grades,last_retrieved,canonical_record_ids,canonical_match_status,promotion_status,promotion_blockers,notes,operation_status_2026,operation_evidence_basis,operation_evidence_url,operation_evidence_date,farm_scope_status,operation_identity_status,countable_operation_2026
MS-90568D9A37,5D Natural Farms,5d natural farms,farm,unique_source_name_reviewed,MS,,,,2629 Neil Collins,public_business_address_reviewed_for_future_reduced_precision,,,"Tomatos, Bellpeppers, Lettuce, Okra, Cucumbers",Mississippi Farmers Market agricultural vendor,,5DNaturalFarm@gmaill.com,internal_until_public_use_review,,,,,False,True,False,False,False,False,False,1,msobs_70a0c130c5e3f6fa770b,MDAC Mississippi Farmers Market agricultural vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=238,B,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.,currently_listed_official_2026,Named agricultural vendor in the live MDAC farmers-market vendor list retrieved in 2026,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=238,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,True
MS-493D094896,"Aliff Acres, LLC",aliff acres,farm,unique_source_name_reviewed,MS,,,,,public_business_address_reviewed_for_future_reduced_precision,,,beets; broccoli; cabbage; carrots; cauliflower; celery; chinese greens; collards; daikon; garlic; green onions; kale; lettuce; mustard greens; peas; rutabagas; salad greens; salad mix; spinach; sweet potatoes; swiss chard; turnips; beef; chicken; pork; eggs; baked goods; bread; honey; soap; fresh flowers; wreaths; arugula; asparagus; green beans; kohlrabi; onions; parsnips; potatoes; radishes; zucchini; blackberries; peaches; sweet corn; cucumber; eggplant; hot peppers; leeks; okra; pumpkins; shallots; summer squash; sweet peppers; tomatillos; tomatoes; apples; blueberries; cantaloupes; figs; grapes; melons; pears; persimmons; plums; raspberries; strawberries; watermelons; pecans; medicinal herbs; corn; winter-squash; lemons; American Persimmon; American Plum; Belle of Georgia Peach; Moon & Stars Watermelon; Wild American Elderberry; Amish Deer Tongue Lettuce; Amish Paste Tomato; Cherokee Purple Tomato; German Pink Tomato; Jimmy Nardello's Sweet Italian Frying pepper; Long Island Cheese Pumpkin; Lorz Italian Garlic; Orange Oxheart Tomato; Radiator Charlie's Mortgage Lifter Tomato; Seminole Pumpkin; Seven Top Turnip; Speckled Lettuce,LocalHarvest Family Farm,(850) 206-3097,,internal_until_public_use_review,https://www.aliffacresfarms.com,http://www.facebook.com/AliffAcres,https://instagram.com/aliffacresfarm,,True,False,False,False,False,False,False,1,msobs_70ee2f7eac16e5be8e8a,LocalHarvest — Mississippi county-seat gap search,https://www.localharvest.org/aliff-acres-llc-M63467,D,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.,unresolved_2026,No current operating evidence located,,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,False
MS-62ED3F56E8,Anthiriam Farms,anthiriam farms,farm,unique_source_name_reviewed,MS,,Harrisville,,,public_business_address_reviewed_for_future_reduced_precision,,,chicken; eggs,LocalHarvest Family Farm,(601) 724-4532,,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,msobs_11bb1cdd5f5a02263de1,LocalHarvest — Mississippi county-seat gap search,https://www.localharvest.org/anthiriam-farms-M58786,D,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.,unresolved_2026,No current operating evidence located,,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,False
MS-6BCEE29FFF,Baba's Oasis,babas oasis,farm,unique_source_name_reviewed,MS,,,,,public_business_address_reviewed_for_future_reduced_precision,,,arugula; beets; broccoli; brussels sprouts; cabbage; carrots; cauliflower; celery; chinese greens; collards; dry beans; edamame soybeans; kale; kohlrabi; leeks; lettuce; mushrooms; onions; parsnips; peas; potatoes; radishes; salad greens; salad mix; spinach; swiss chard; turnips; winter-squash; apples; bananas; cherries; dates; guavas; lemons; limes; mangos; nectarines; olives; oranges; papayas; peaches; pears; persimmons; plums; rhubarb; tangerines; tropicals; eggs; preserves; medicinal herbs; luffa; seeds; sweet corn; cucumber; garlic; green beans; green onions; eggplant; hot peppers; mustard greens; okra; shallots; summer squash; sweet peppers; sweet potatoes; tomatillos; tomatoes; zucchini; blackberries; blueberries; cantaloupes; figs; grapes; melons; raspberries; strawberries; watermelons; honey; Meyer Lemon of California's Central Coast; Moon & Stars Watermelon; Pawpaw; Puebla Avocado; Yellow-Meated Watermelon; Plymouth Rock Chicken; Amish Paste Tomato; Bull Nose Large Bell pepper; Cherokee Purple Tomato; Fish Pepper; German Pink Tomato; Radiator Charlie's Mortgage Lifter Tomato,LocalHarvest Family Farm,(901) 601-2239,,internal_until_public_use_review,https://babasoasis.org,http://www.facebook.com/BabasOasisMphs,,,True,False,False,False,False,False,False,1,msobs_f523e1b8e2083045250a,LocalHarvest — Mississippi county-seat gap search,https://www.localharvest.org/babas-oasis-M65475,D,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.,unresolved_2026,No current operating evidence located,,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,False
MS-C19782309E,"Barkley Farms, LLC",barkley farms,farm,unique_source_name_reviewed,MS,,Fortenberry Rd. Tylertown,39667,"219 Fortenberry Rd. Tylertown, MS 39667 Phone: (601) 810-4269 Email: leabarkley@yahoo.com Facebook: https://www.facebook.com/p/Barkley-Farms-LLC-100063747751034/",public_business_address_reviewed_for_future_reduced_precision,,,Mississippi-grown Christmas trees,Christmas tree farm,(601) 810-4269,leabarkley@yahoo.com,internal_until_public_use_review,,https://www.facebook.com/p/Barkley-Farms-LLC-100063747751034/,,,True,False,False,False,False,False,False,1,msobs_ef64e6b4e68a6f0eb868,MDAC-linked Mississippi Christmas Tree Farms,https://mschristmastrees.com/locations/,B,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.,currently_listed_official_2026,Named farm in the MDAC-linked Mississippi Christmas Tree directory retrieved in 2026,https://mschristmastrees.com/locations/,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,True
MS-4FAB25C04C,Bluff City CSA,bluff city csa,farm,unique_source_name_reviewed,MS,,,,,public_business_address_reviewed_for_future_reduced_precision,,,arugula; beets; broccoli; brussels sprouts; cabbage; carrots; cauliflower; chinese greens; collards; eggplant; garlic; green beans; green onions; hot peppers; kale; kohlrabi; leeks; lettuce; mustard greens; onions; peas; potatoes; radishes; salad greens; salad mix; shallots; spinach; sweet peppers; sweet potatoes; swiss chard; tomatoes; turnips; winter-squash; strawberries; artichokes; asparagus; celery; sweet corn; cucumber; okra; summer squash; tomatillos; zucchini; blueberries; watermelons; fresh flowers; Aunt Ruby's German Green Tomato; Cherokee Purple Tomato; Chiltepin Pepper; Speckled Lettuce,LocalHarvest Family Farm,,,internal_until_public_use_review,https://bluffcitycsa.farm,http://www.facebook.com/bluffcitycsa,https://instagram.com/bluffcitycsa,,True,False,False,False,False,False,False,1,msobs_6c452c1b7ff4952abc55,LocalHarvest — Mississippi county-seat gap search,https://www.localharvest.org/bluff-city-csa-M84763,D,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; every source observation remains separately auditable.,unresolved_2026,No current operating evidence located,,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,False
MS-BB0C984A19,Broadhead Farms,broadhead farms,farm,unique_source_name_reviewed,MS,,Central Ms,,,public_business_address_reviewed_for_future_reduced_precision,32.29876,-90.18481,"Beef, cattle",Meat,,,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,msobs_7253cbcc269d9b179157,FarmFinder current canonical baseline — identity anchor only,,E,2026-07-16,FF-0279,canonical_baseline_only,research_or_qa_queue,county missing; single grade-E discovery listing needs corroboration; canonical baseline farm not rediscovered in current three-pass sources,Fields selected by evidence grade; every source observation remains separately auditable.,unresolved_2026,No current operating evidence located,,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,False
MS-347B8A96D0,Carnes Farm (The Dogwood Company),carnes farm the dogwood,farm,unique_source_name_reviewed,MS,,Hurt-Wood Rd. Pontotoc,38863,"164 Hurt-Wood Rd. Pontotoc, MS 38863",public_business_address_reviewed_for_future_reduced_precision,,,Mississippi-grown Christmas trees,Christmas tree farm,(662) 419-1286,shopthedogwoodco@gmail.com,internal_until_public_use_review,,https://www.facebook.com/carneschristmastreefarm/,,,True,False,False,False,False,False,False,1,msobs_41ef962e86e0c9e5d394,MDAC-linked Mississippi Christmas Tree Farms,https://mschristmastrees.com/locations/,B,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.,currently_listed_official_2026,Named farm in the MDAC-linked Mississippi Christmas Tree directory retrieved in 2026,https://mschristmastrees.com/locations/,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,True
MS-62EEDE53D4,Circle L Enterprises,circle l enterprises,farm,merged_exact_name_reviewed,MS,,Coila,38923,"15426 Ms. Hwy 17 , Coila, Mississippi 38923",public_business_address_reviewed_for_future_reduced_precision,,,"Greens; Pies and Cakes; Jellies and Jams; Fresh Squeezed Lemonade; Herbs; Tomatoes; Peppers; Okra; Squash; Cucumbers; Crafted Seasonings; Eggs; HERDS: basil, thyme, oregano, mints, sage, lemon grass, lemon balm, and other herbs.; Pork skins and Pork cracklins and Uncooked pork skins/cracklins",Genuine MS Grown; Genuine MS Raised,(662) 385-6223,circlelenterprise76@gmail.com,internal_until_public_use_review,,https://www.facebook.com/circlelenterprises/,,,False,False,False,False,False,False,False,2,msobs_31b16829b29cc6c63503 | msobs_f4174c8603247ac4dfbb,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/circle-l-enterprises/,B,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.,currently_listed_official_2026,Named member profile in the live Genuine MS Grown directory retrieved in 2026,https://genuinems.com/directory/circle-l-enterprises/,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,True
MS-97D1478D56,CM Farms,cm farms,farm,unique_source_name_reviewed,MS,,Lone Oak Rd. West Point,39773,"611 Lone Oak Rd. West Point, MS 39773 Phone: (662) 295-3135 Email: chad.mccomic@gmail.com Facebook: https://www.facebook.com/CMFarmsandServices/",public_business_address_reviewed_for_future_reduced_precision,,,Mississippi-grown Christmas trees,Christmas tree farm,(662) 295-3135,chad.mccomic@gmail.com,internal_until_public_use_review,,https://www.facebook.com/CMFarmsandServices/,,,True,False,False,False,False,False,False,1,msobs_b43299e349dec07c3a1c,MDAC-linked Mississippi Christmas Tree Farms,https://mschristmastrees.com/locations/,B,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.,currently_listed_official_2026,Named farm in the MDAC-linked Mississippi Christmas Tree directory retrieved in 2026,https://mschristmastrees.com/locations/,2026-07-15,in_scope_primary_producer,distinct_under_current_rules,True
