review_id,farm_name,normalized_name,decision,evidence_grade,verified_entity_type,county_equivalent,city,postal_code,products,business_types,website_url,source_url,retrieved_date,decision_basis,notes,target_normalized_name,exclusion_reason,supersedes_review_id
georeview_3f4c38c6eb84b26271d3,107 Market and Deli,107 market and deli,correct,B,farm_or_agricultural_business,Buncombe,Black Mountain,,,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Black Mountain wholly within Buncombe (37021); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_36d58e301df969b16c8a,1812 Hitching Post Farm,1812 hitching post farm,correct,B,farm_or_agricultural_business,Iredell,HARMONY,,agritourism,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places HARMONY wholly within Iredell (37097); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_f9b5b2d7c35bdde4cca0,3 Hawk Alpacas / Anita's Alpaca Woolery,3 hawk alpacas anitas alpaca woolery,correct,B,farm_or_agricultural_business,Hertford,Murfreesboro,,agritourism,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Murfreesboro wholly within Hertford (37091); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_5926b970a136af0c6574,3516 Bivins Rd,3516 bivins rd,correct,B,farm_or_agricultural_business,Orange,Hillsborough,27278,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Hillsborough wholly within Orange (37135); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_83a9e38294bbd72d81e4,37 Roots Farm,37 roots farm,correct,B,farm_or_agricultural_business,Davidson,Lexington,27292,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Lexington wholly within Davidson (37057); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_e53bf049703da365f64d,"4-Ever Vista Farms, LLC",4 ever vista farms,correct,B,farm_or_agricultural_business,Halifax,Enfield,27823,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Enfield wholly within Halifax (37083); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_608b5ca7a05ef9ae348d,4J Cattle Company,4j cattle company,correct,B,farm_or_agricultural_business,Cleveland,Shelby,28150,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Shelby wholly within Cleveland (37045); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_d17925fb50e0abeb3077,4R Farm,4r farm,correct,B,farm_or_agricultural_business,Gaston,Gastonia,28052,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Gastonia wholly within Gaston (37071); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_9e854d06c3a66f70f54c,5 A Day Farm,5 a day farm,correct,B,farm_or_agricultural_business,Stanly,Oakboro,28129,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Oakboro wholly within Stanly (37167); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_4451474fe1295b607bad,8th Generation Farm,8th generation farm,correct,B,farm_or_agricultural_business,Rowan,Rockwell,28138,Raising animals on land that has been in our family since 1762. We are proud to grow and live on the land we love.,farm or agricultural business,https://visitncfarms.com/farm/8th-generation-farm-2/,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Rockwell wholly within Rowan (37159); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_694cfc3fca0eb7a90a9f,A&J Farm,a and j farm,correct,B,farm_or_agricultural_business,Wilkes,North Wilkesboro,,agritourism,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places North Wilkesboro wholly within Wilkes (37193); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_92135f1d2763364c06ee,"A&O Organics,",a and o organics,correct,B,farm_or_agricultural_business,Dare,Duck,27949,"Botanical Apothecary, Helping others heal from inside out, Embracing the power of nature, Garden grown, handmade",farm or agricultural business,https://visitncfarms.com/farm/ao-organics-2/,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Duck wholly within Dare (37055); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_8170b4fbbb31bfbdd65d,A Greene Family Farm,a greene family farm,correct,B,farm_or_agricultural_business,Watauga,Boone,,agritourism,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Boone wholly within Watauga (37189); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_b69aa7e1581ccca09348,A.J. Evans & Son Produce Farm,a j evans and son produce farm,correct,B,farm_or_agricultural_business,Chowan,Edenton,27932,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Edenton wholly within Chowan (37041); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_fb75a81f65798eaac773,A.J. Smith & Sons Inc.,a j smith and sons,correct,B,farm_or_agricultural_business,Chowan,Edenton,27932,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Edenton wholly within Chowan (37041); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_6f5e2a4a9f3ed6c79d7c,A.L Baucom Family Farms,a l baucom family farms,correct,B,farm_or_agricultural_business,Union,Monroe,28110,"A.L. Baucom Family Farms’ history goes back over 100 years and three generations. In 1901 Emanuel and Ola Baucom purchased the original home place. Through the years, they worked to bring the land into production and raise their children. We currently grow corn, wheat, soybeans, cotton, and peanuts. We also grow strawberries and other produce for Piedmont Produce General Store. Our operation covers 9,000 acres in both North and South Carolina. We utilize no-till conservation planting methods to",farm or agricultural business,https://visitncfarms.com/farm/a-l-baucom-family-farms-2/,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Monroe wholly within Union (37179); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_1afae5b44f02e4592c4a,A Mighty Oak B & B and Intended Way Farm,a mighty oak b and b and intended way farm,correct,B,farm_or_agricultural_business,Stokes,Pinnacle,27043,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Pinnacle wholly within Stokes (37169); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_f6441db9f4222a3b59dd,A.W. Bunch Farms LLC,a w bunch farms,correct,B,farm_or_agricultural_business,Chowan,Edenton,27932,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Edenton wholly within Chowan (37041); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_ae0ae5c649e6129c7c40,Abundant Living Farm,abundant living farm,correct,B,farm_or_agricultural_business,Anson,Peachland,28133,"Abundant Living Farm is a small farm owned by Otis Cary Rodgers and his family that started selling its produce in 2020. We grow our produce naturally without any chemical herbicides nor pesticides. We love to grow the freshest produce from our farm to your table. Also, we have handmade live-edge wood furniture and herbal lip balm and salves that are made from our herbs.",farm or agricultural business,https://visitncfarms.com/farm/abundant-living-farm-2/,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Peachland wholly within Anson (37007); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_b0149f09f6c24bdae224,Acres of Grace Farmstead,acres of grace farmstead,correct,B,farm_or_agricultural_business,Currituck,Moyock,,,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Moyock wholly within Currituck (37053); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_219f181681a4d11f6d39,"Across the Lake Farming Co., Inc.",across the lake farming co,correct,B,farm_or_agricultural_business,Harnett,Dunn,,agritourism,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Dunn wholly within Harnett (37085); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_552162e5a5a5e1a222d0,Adventures in Herbs,adventures in herbs,correct,B,farm_or_agricultural_business,Union,Indian Trail,28079,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Indian Trail wholly within Union (37179); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_ed1bbf9854466101d38c,AFF Cattle,aff cattle,correct,B,farm_or_agricultural_business,Craven,New Bern,28560,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places New Bern wholly within Craven (37049); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_ba8dae25c7d395a85e51,After Hours Farms,after hours farms,correct,B,farm_or_agricultural_business,Cleveland,Lawndale,28090,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Lawndale wholly within Cleveland (37045); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_dffb0db08f81b7cc4ee3,Alex Gooden Vineyard,alex gooden vineyard,correct,B,farm_or_agricultural_business,Bladen,Elizabethtown,,agritourism,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Elizabethtown wholly within Bladen (37017); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_a4a08ea49f942acf00b9,Alexander Family Farms,alexander family farms,correct,B,farm_or_agricultural_business,Union,Monroe,28110,grower or producer,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Monroe wholly within Union (37179); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
