entity_id,farm_name,normalized_name,entity_type,identity_decision,state,county_equivalent,city,postal_code,address_internal,public_location_classification,latitude,longitude,products,business_types,phone_internal,email_internal,contact_visibility,website_url,facebook_url,instagram_url,tiktok_url,on_farm_sales,farmers_market_sales,online_sales,local_delivery,u_pick,wholesale,farm_to_school,source_observation_count,source_observation_ids,source_names,source_urls,evidence_grades,last_retrieved,promotion_status,promotion_blockers,notes
NC-5073911FA8,.,,farm_or_agricultural_business,source_unique_name_reviewed,NC,Robeson,Maxto,28364,"Sanderson Strawberry Farm - 2024 permanently closed Closedd, Maxto, NC 28364. Phone: (910) 521-4761. Open UPDATE: February 28, 2024: A visitor tells me they are now permanently closed .",public_business_address_reviewed_for_future_reduced_precision,34.6392096,-79.1008811,"2024 permanently closed Closedd, Maxto, NC 28364. Phone: (910) 521-4761. Open UPDATE: February 28, 2024: A visitor tells me they are now permanently closed .",farm or agricultural business,(910) 521-4761,,internal_until_public_use_review,,,,,,,,,,,,1,ncobs_6d46e3233b9c9b5ccafe,PickYourOwn — NC regional directory,https://www.pickyourown.org/NCsoutheastern.htm,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
NC-BE8B927F6E,107 Market and Deli,107 market and deli,farm_or_agricultural_business,source_unique_name_reviewed,NC,Buncombe,Black Mountain,,,county_only_no_public_address,35.6147047,-82.3255160,,farm or agricultural business,,,internal_until_public_use_review,,,,,,,,,,,,1,ncobs_209526031bc6729c5042,U.S. Farm Trail — NC farm directory,https://www.usfarmtrail.com/api/v1/farms/geojson?state=north-carolina,C,2026-07-16,research_or_qa_queue,products or production scope requires review,Retained from source collection; eligible rows still require downstream validation before promotion.
NC-D5440E9E3A,12:03AM FARM,12 03am farm,farm_or_agricultural_business,source_unique_name_reviewed,NC,,Faison,28341,"6173 Pine Ridge Rd, Faison, NC 28341, USA",public_business_address_reviewed_for_future_reduced_precision,35.1164611,-78.1362875,"12:03AM Farm is a Certified Service-Disabled Veteran Owned Small Business using sustainable and organic practices to provide quality nutrition to our community, while leaving a legacy for generations to come. We focus on growing high-quality, nourishing vegetables, fruits and herbs as we are dedicated to diversifying our product range to cater to your every culinary craving.",farm or agricultural business,,,internal_until_public_use_review,https://visitncfarms.com/farm/1203am-farm-2/,,,,,,,,,,,1,ncobs_f3930a766835bf73ffb1,Visit NC Farms — public farm and business directory,https://visitncfarms.com/farms/our-farms-and-businesses/,C,2026-07-16,research_or_qa_queue,county requires geography review,Retained from source collection; eligible rows still require downstream validation before promotion.
NC-61B9F833C3,1812 Hitching Post Farm,1812 hitching post farm,farm_or_agricultural_business,source_unique_name_reviewed,NC,Iredell,HARMONY,,,county_only_no_public_address,35.9617336,-80.7755712,agritourism,farm or agricultural business,,,internal_until_public_use_review,,,,,,,,,,,,1,ncobs_2e182a9ed21264cfbfd7,U.S. Farm Trail — NC farm directory,https://www.usfarmtrail.com/api/v1/farms/geojson?state=north-carolina,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
NC-A23A70B26D,1870 Farm,1870 farm,farm_or_agricultural_business,merged_exact_name_reviewed,NC,,Chapel Hill,27517,"1224 Old Lystra Rd, Chapel Hill, NC 27517, USA",public_business_address_reviewed_for_future_reduced_precision,35.9282610,-79.0401018,"1870 Farm is an award winning educational farm located in the heart of Chapel Hill. The farm offers day and overnight camps, as well as the the Junior Vet Academy which takes place at 1870 Farm and the UNC campus. The farm has summer camp programs for kids ages 3-15 from mid June until Mid August.; grower or producer",farm or agricultural business,,,internal_until_public_use_review,https://visitncfarms.com/farm/1870-farm/,,,,,,,,,,,2,ncobs_31dc76c083fdf37ec6da | ncobs_27de8ead0e89e12688f5,Visit NC Farms — public farm and business directory; Got to Be NC — growers and producers directory,https://visitncfarms.com/farms/our-farms-and-businesses/ | https://gottobenc.com/events/flavors-attendees/find-local/growers-producers/?filter=yes&member-category=growers-producers,C,2026-07-16,research_or_qa_queue,county requires geography review,Retained from source collection; eligible rows still require downstream validation before promotion.
NC-53C98E1D6D,3 Bluebirds Farm,3 bluebirds farm,farm_or_agricultural_business,merged_exact_name_reviewed,NC,,Raleigh,,"Horse Creek Rd, North Carolina 27603, USA",public_business_address_reviewed_for_future_reduced_precision,35.8318680,-78.6410418,"The mission of 3 Bluebirds Farm is to create an environmentally sustainable agricultural community of choice in Raleigh, NC, where adults on the autism spectrum can live dignified and meaningful lives with support. Additionally, to offer individualized day camp and track-out programs to school-aged children with autism (Camp Bluebird, a division of 3 Bluebirds Farm), in which they can thrive and continue to grow and learn socially, physically and intellectually on a farm setting.; grower or producer",farm or agricultural business,,,internal_until_public_use_review,https://visitncfarms.com/farm/3-bluebirds-farm-2/,,,,,,,,,,,2,ncobs_952947dff44ba0317a74 | ncobs_165894f8d1af061e6869,Visit NC Farms — public farm and business directory; Got to Be NC — growers and producers directory,https://visitncfarms.com/farms/our-farms-and-businesses/ | https://gottobenc.com/events/flavors-attendees/find-local/growers-producers/?filter=yes&member-category=growers-producers,C,2026-07-16,research_or_qa_queue,county requires geography review,Retained from source collection; eligible rows still require downstream validation before promotion.
NC-23E8D371C0,3 Hawk Alpacas / Anita's Alpaca Woolery,3 hawk alpacas anitas alpaca woolery,farm_or_agricultural_business,source_unique_name_reviewed,NC,Hertford,Murfreesboro,,,county_only_no_public_address,36.4419668,-77.0976630,agritourism,farm or agricultural business,,,internal_until_public_use_review,,,,,,,,,,,,1,ncobs_3a98fddd19c59e2891ae,U.S. Farm Trail — NC farm directory,https://www.usfarmtrail.com/api/v1/farms/geojson?state=north-carolina,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
NC-E40A1F7C7F,3 Kids Farm,3 kids farm,farm_or_agricultural_business,source_unique_name_reviewed,NC,,,,,county_only_no_public_address,,,,farm or agricultural business,,,internal_until_public_use_review,,,,,,,,,,,,1,ncobs_e6ee20a5951b0cf36f03,U.S. Farm Trail — NC farm directory,https://www.usfarmtrail.com/api/v1/farms/geojson?state=north-carolina,C,2026-07-16,research_or_qa_queue,county requires geography review; city or safe public service area requires review; products or production scope requires review,Retained from source collection; eligible rows still require downstream validation before promotion.
NC-15426B2FB3,3 Star Produce,3 star produce,farm_or_agricultural_business,source_unique_name_reviewed,NC,,,,"Wilson, North Carolina 27896",public_business_address_reviewed_for_future_reduced_precision,,,grower or producer,farm or agricultural business,,,internal_until_public_use_review,,,,,,,,,,,,1,ncobs_1bc699d9bb54591ec774,Got to Be NC — growers and producers directory,https://gottobenc.com/events/flavors-attendees/find-local/growers-producers/?filter=yes&member-category=growers-producers,C,2026-07-16,research_or_qa_queue,county requires geography review; city or safe public service area requires review,Retained from source collection; eligible rows still require downstream validation before promotion.
NC-F44A129A0B,"35 North Mariculture, LLC",35 north mariculture,farm_or_agricultural_business,source_unique_name_reviewed,NC,,Cedar Island,28520,"Cedar Island, NC 28520",public_business_address_reviewed_for_future_reduced_precision,,,grower or producer,farm or agricultural business,,,internal_until_public_use_review,,,,,,,,,,,,1,ncobs_62bb41c91c02fcd5bab8,Got to Be NC — growers and producers directory,https://gottobenc.com/events/flavors-attendees/find-local/growers-producers/?filter=yes&member-category=growers-producers,C,2026-07-16,research_or_qa_queue,county requires geography review,Retained from source collection; eligible rows still require downstream validation before promotion.
