review_id,farm_name,normalized_name,decision,evidence_grade,verified_entity_type,county_equivalent,city,postal_code,products,business_types,website_url,source_url,retrieved_date,decision_basis,notes,target_normalized_name,exclusion_reason,supersedes_review_id
georeview_9c045cf0b4358956e4b4,ACE Basin Growers / ACE Food Hub,ace basin growers ace food hub,correct,B,farm_or_agricultural_business,Orangeburg,Orangeburg,,farmers-market,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Orangeburg wholly within Orangeburg (45075); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_4e89477287b6ad212dc8,Aiken County Farmers Market,aiken county farmers market,correct,B,farm_or_agricultural_business,Aiken,Aiken,,farmers-market,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Aiken wholly within Aiken (45003); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_76c576c0caf3443d0fcd,Ambert Farm,ambert farm,correct,B,farm_or_agricultural_business,Sumter,Dalzell,,"agritourism; farm-stand, organic; 2024 assumed permanently closed 2885 Steeplechase Dr., Dalzell, SC 29040. Phone: (803) 520-8815. Fax: 8034452260. Email: admin@ambertfarm.com . Open: UPDATE for 2024, Their website is gone; There's nothing else current about them on the internet, so I assume they have closed. If you have any information to the contrary, please write me . Monday to Friday from 9 am to 6 pm; Saturday and Sunday 10 am to 6 pm. . Click here for our Facebook page . Uses natural growing practices , beans, beets, broccoli, carrots, corn (sweet), cucumbers, eggplants, peas, pumpkins, rhubarb, summer squash, winter squash, tomatoes, other vegetables, watermelons, Turkeys (organic, not-hormone-fed), Fresh eggs, farm animals (ADDED: March 17, 2021)",farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Dalzell wholly within Sumter (45085); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_37a6e2cce77b69052018,Ammons Cattle Farm,ammons cattle farm,correct,B,farm_or_agricultural_business,Horry,Conway,,livestock,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Conway wholly within Horry (45051); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_3a9dd25fc4b632f8de4e,Anderson Farms,anderson farms,correct,B,farm_or_agricultural_business,Horry,Conway,,agritourism,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Conway wholly within Horry (45051); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_71d4706c346f6dad5f66,Anderson Vineyards,anderson vineyards,correct,B,farm_or_agricultural_business,Spartanburg,Pauline,,farm-stand; agritourism,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Pauline wholly within Spartanburg (45083); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_6b8f80f67d87e016fc57,Antreville Farms and Flowers,antreville farms and flowers,correct,B,farm_or_agricultural_business,Anderson,Iva,,"agritourism, flowers",farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Iva wholly within Anderson (45007); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_5adadc6e5f7bf68ade91,Arant's Farm Fresh Produce,arants farm fresh produce,correct,B,farm_or_agricultural_business,Orangeburg,Orangeburg,,"agritourism, produce",farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Orangeburg wholly within Orangeburg (45075); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_0f686781ae5662af03b4,Autumn Farm and Vineyard,autumn farm and vineyard,correct,B,farm_or_agricultural_business,Cherokee,Gaffney,,agritourism,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Gaffney wholly within Cherokee (45021); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_b83391089933e74b15c1,Bamberg Farmers Market,bamberg farmers market,correct,B,farm_or_agricultural_business,Bamberg,Bamberg,,farmers-market,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Bamberg wholly within Bamberg (45009); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_59ddef324d43f9018f82,Barefoot Farms of Belton,barefoot farms of belton,correct,B,farm_or_agricultural_business,Anderson,Belton,,"farm-stand; UPDATE for 2020, Their website or Facebook page says they no longer offer Pick-your-own Belton, SC 29627. Sorry we have removed the you-pick option from our farm due to insurance company policies. (UPDATED: June 19, 2020)",farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Belton wholly within Anderson (45007); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_e7bbb10d048f6a45f683,Barnwell Farmers' Market,barnwell farmers market,correct,B,farm_or_agricultural_business,Barnwell,Barnwell,,farmers-market,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Barnwell wholly within Barnwell (45011); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_4c8d4ffa6631e8d1211f,Baxley Farms Produce Country Market,baxley farms produce country market,correct,B,farm_or_agricultural_business,Marion,Marion,,"farm-stand, produce",farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Marion wholly within Marion (45067); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_f92ab76fdb6a20bb775d,Bee City Zoo & Honey Bee Farm,bee city zoo and honey bee farm,correct,B,farm_or_agricultural_business,Colleton,Cottageville,,honey,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Cottageville wholly within Colleton (45029); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_245cef6ea49f242cf40c,Bee Well Honey,bee well honey,correct,B,farm_or_agricultural_business,Pickens,Pickens,,"agritourism, honey",farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Pickens wholly within Pickens (45077); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_46cf83b109d9dadcde6b,Bell Farms Strawberry Patch,bell farms strawberry patch,correct,B,farm_or_agricultural_business,Saluda,Ward,,"agritourism, produce",farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Ward wholly within Saluda (45081); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_d38eacfe3c0b5354b5dd,Bellamy Farms,bellamy farms,correct,B,farm_or_agricultural_business,Horry,Loris,,farm-stand,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Loris wholly within Horry (45051); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_57ec945fc7beb94bbbd5,Bellews Country Store,bellews country store,correct,B,farm_or_agricultural_business,Spartanburg,Spartanburg,,,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Spartanburg wholly within Spartanburg (45083); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
georeview_5c5dcd1923cfde4b5fec,Belue Farms Natural Market,belue farms natural market,correct,B,farm_or_agricultural_business,Spartanburg,Boiling Springs,,farm-stand,farm or agricultural business,,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,2026-07-17,The Census national place-by-county reference places Boiling Springs wholly within Spartanburg (45083); the county geography blocker is resolved without changing operation evidence.,Draft only; a curator must apply this decision with its paired entity patch.,,,
