entity_id,farm_name,normalized_name,entity_type,identity_decision,state,county_equivalent,city,postal_code,address_internal,public_location_classification,latitude,longitude,products,business_types,phone_internal,email_internal,contact_visibility,website_url,facebook_url,instagram_url,tiktok_url,on_farm_sales,farmers_market_sales,online_sales,local_delivery,u_pick,wholesale,farm_to_school,source_observation_count,source_observation_ids,source_names,source_urls,evidence_grades,last_retrieved,promotion_status,promotion_blockers,notes
SC-EAB3BE26DC,"06 Farm Services, LLC.",06 farm services,farm_or_agricultural_business,source_unique_name_reviewed,SC,Pickens,Six Mile,,"362 Gap Hill Rd., Six Mile, SC 29682",public_business_address_reviewed_for_future_reduced_precision,,,All natural & no antibiotic beef. Sold half or whole. Round or Square hay also available.,farm or agricultural business,(864) 907-6837,rdm95573@gmail.com,internal_until_public_use_review,,,,,,,,,,,,1,scobs_dcaca81ed5b72f9876ac,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/06-farm-services-llc/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-11438F48E7,14 Carrot Whole Foods,14 carrot whole foods,farm_or_agricultural_business,source_unique_name_reviewed,SC,Lexington,Lexington,,"5300 Sunset Blvd., Lexington, SC 29072",public_business_address_reviewed_for_future_reduced_precision,,,"We support local agriculture and farmers by carrying Certified South Carolina grown produce and meats throughout the year. At 14 Carrot, we take pride in providing you with healthy alternatives for your everyday needs. As a full line Health Food Store we carry a large selection of high quality supplements, health and beauty aids, general groceries, refrigerated and frozen goods, fresh organic/natural meats and deli foods, organic produce, and a bulk department that features over 500 items. Whether your needs are vegetarian, vegan, wheat/gluten free, or Raw, our extensive selection is the solution for you.",farm or agricultural business,803-359-2920,14carrot@14carrot.net,internal_until_public_use_review,http://www.14carrot.net,,,,,,,,,,,1,scobs_53556dbc757b1a44fd68,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/14-carrot-whole-foods/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-DB396CC1EB,2026,2026,farm_or_agricultural_business,source_unique_name_reviewed,SC,,,,,county_only_no_public_address,,,agritourism,farm or agricultural business,,,internal_until_public_use_review,,,,,,,,,,,,1,scobs_91a11a5527d6e5028843,SCDA — 2026 Agritourism Passport participating farms,https://agriculture.sc.gov/wp-content/uploads/2026/02/AgritourismPassportRackCard2026_4x9_digital.pdf,C,2026-07-16,research_or_qa_queue,county requires geography review; city or safe public service area requires review; no public outreach path captured,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-994C102CDB,2600 Bull Street Farmers market,2600 bull street farmers market,farm_or_agricultural_business,source_unique_name_reviewed,SC,,,,,county_only_no_public_address,,,farmers-market,farm or agricultural business,,,internal_until_public_use_review,,,,,,,,,,,,1,scobs_f4e94d6cf891d0fd0d19,U.S. Farm Trail — SC farm directory,https://www.usfarmtrail.com/api/v1/farms/geojson?state=south-carolina,C,2026-07-16,research_or_qa_queue,county requires geography review; city or safe public service area requires review; no public outreach path captured,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-97CA59F2D7,3 B Farms,3 b farms,farm_or_agricultural_business,source_unique_name_reviewed,SC,Colleton,Walterboro,,"420 Ospitale Rd., Walterboro, SC 29488",public_business_address_reviewed_for_future_reduced_precision,,,"Small farm growing mixed leafy greens, okra, green peanuts and field corn.",farm or agricultural business,843-909-1867,,internal_until_public_use_review,,,,,,,,,,,,1,scobs_6d7e4002bebfa2e7d3bc,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/3-b-farms/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-631830DDA0,3 Lanes Farm,3 lanes farm,farm_or_agricultural_business,source_unique_name_reviewed,SC,Laurens,Laurens,,"6278 Hwy 308, Laurens, SC 29325",public_business_address_reviewed_for_future_reduced_precision,,,"3 Lanes Farm produces vegetables, blueberries, and other fruits.",farm or agricultural business,(803) 422-0507,tls@lhtech.com,internal_until_public_use_review,,,,,,,,,,,,1,scobs_568e7f5fadad2aaa16bf,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/3-lanes-farm/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-9533CE0B38,3 P’s Farm,3 ps farm,farm_or_agricultural_business,source_unique_name_reviewed,SC,Pickens,Easley,,"1375 Hunts Bridge Rd., Easley, SC 29640",public_business_address_reviewed_for_future_reduced_precision,,,3 P’s Farm produces fresh chicken eggs and seasonal produce.,farm or agricultural business,(864) 483-2007,pagefarmppp@gmail.com,internal_until_public_use_review,,,,,,,,,,,,1,scobs_cac10acb66edf22787b5,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/3-ps-farm/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-30D70A2A8C,323 Ranch,323 ranch,farm_or_agricultural_business,source_unique_name_reviewed,SC,Saluda,Ridge Spring,,"835 Padgett Pond RD., Ridge Spring, SC 29129",public_business_address_reviewed_for_future_reduced_precision,,,Pork and chicken eggs. Check us out on Facebook @ 323ranch,farm or agricultural business,704-437-9780,323ranch@gmail.com,internal_until_public_use_review,,,,,,,,,,,,1,scobs_deafa53a81b8fa8b5d91,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/323-ranch/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-1353482043,3AAA Farms,3aaa farms,farm_or_agricultural_business,source_unique_name_reviewed,SC,Laurens,Gray Court,,"2581 Hwy. 92, Gray Court, SC 29645",public_business_address_reviewed_for_future_reduced_precision,,,"Free range eggs and a variety of vegetables, including sweet corn.",farm or agricultural business,864-684-0467,apcomptonjr@charter.net,internal_until_public_use_review,,,,,,,,,,,,1,scobs_d458f7ebacc8e25a8722,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/3aaa-farms/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-D36C3951A7,A and J Farm,a and j farm,farm_or_agricultural_business,source_unique_name_reviewed,SC,Spartanburg,Enoree,,"398 Union Hwy., Enoree, SC 29335",public_business_address_reviewed_for_future_reduced_precision,,,"We are a safe haven for farm animals. We raise dairy goats, chicken, duck and goose eggs. We also raise veggies, peanuts, potatoes- including sweet potatoes.",farm or agricultural business,864-308-7834,Tatgurl@msn.com,internal_until_public_use_review,,,,,,,,,,,,1,scobs_fc7535f90c8c11894b8f,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/a-and-j-farm/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-2303D788C5,A and M Produce,a and m produce,farm_or_agricultural_business,source_unique_name_reviewed,SC,Oconee,Fair Play,,"515 Dairy Farm Road, Fair Play, SC 25643",public_business_address_reviewed_for_future_reduced_precision,,,We are produce farmers with a roadside stand. We operate 5 days a week and sell at the Foothills Heritage Market.,farm or agricultural business,864-723-6252,amproduce50@gmail.com,internal_until_public_use_review,,,,,,,,,,,,1,scobs_dfe78cf5ecda35229f62,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/a-and-m-produce/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-599B347015,"A & S Farm and Vineyard, LLC",a and s farm and vineyard,farm_or_agricultural_business,source_unique_name_reviewed,SC,Lexington,Leesville,,"1915 Broad St., Leesville, SC 29070",public_business_address_reviewed_for_future_reduced_precision,,,"We are a small family farm and vineyard growing produce including: beans, collards, cucumbers, muscadine grapes, squash, turnips, and more.",farm or agricultural business,(803) 413-2067,aandsfarmandvineyard@gmail.com,internal_until_public_use_review,,,,,,,,,,,,1,scobs_a019004d07e44b6e0f02,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/a-s-farm-and-vineyard-llc/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-AA9F8F424A,A+ Nursery,a nursery,farm_or_agricultural_business,source_unique_name_reviewed,SC,Greenville,Greenville,,"111 Duncan Road, Greenville, SC 29617",public_business_address_reviewed_for_future_reduced_precision,,,A+ Nursery provides landscape perennial plants specializing in fruit producing plants.,farm or agricultural business,864-294-1921,burrell111@charter.net,internal_until_public_use_review,,,,,,,,,,,,1,scobs_35a34ce82e73b55b8d24,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/a-nursery/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-7B52489A58,A Thrasher’s Farm,a thrashers farm,farm_or_agricultural_business,merged_exact_name_reviewed,SC,Greenville,Pelzer,,"727 Garrison Rd., Pelzer, SC 29669",public_business_address_reviewed_for_future_reduced_precision,,,"A Thrasher’s Farm is a small family owned farm located in Southern Greenville County of Upstate SC. We grow homegrown vegetables, beef, pork, chicken, fish, and we also raise goats.; produce, meat, poultry, farm-stand, nursery; agritourism",farm or agricultural business,(864) 201-3172,athrashersfarm@gmail.com,internal_until_public_use_review,https://athrashersfarm.com,,,,,,,,,,,3,scobs_40edddc93619256f92a6 | scobs_35a10d87efb0bf2a31b3 | scobs_3a2bcf44b504dc2e7585,Certified SC Grown — member profile; U.S. Farm Trail — SC farm directory; SCDA — 2026 Agritourism Passport participating farms,https://certifiedsc.com/csc-member/a-thrashers-farm/ | https://www.usfarmtrail.com/api/v1/farms/geojson?state=south-carolina | https://agriculture.sc.gov/wp-content/uploads/2026/02/AgritourismPassportRackCard2026_4x9_digital.pdf,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-FCDF249E68,A. Witherspoon Farm,a witherspoon farm,farm_or_agricultural_business,source_unique_name_reviewed,SC,Clarendon,Manning,,"6664 Alex Harvin Highway, Manning, SC 29102",public_business_address_reviewed_for_future_reduced_precision,,,We welcome the public to purchase all produce on the A. Witherspoon Farm. The naturally grown produce will be sold when products become available.,farm or agricultural business,803-225-3187,mrsandraregister@yahoo.com,internal_until_public_use_review,,,,,,,,,,,,1,scobs_271bb48a31068c322c00,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/a-witherspoon-farm/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-8B52C8C3DE,AA Farms LLC,aa farms,farm_or_agricultural_business,merged_exact_name_reviewed,SC,Richland,Columbia,,"5412 Bluff Road, Columbia, SC 29209",public_business_address_reviewed_for_future_reduced_precision,,,"U-Pick blueberry farm in Columbia, SC opening June,1 2024; blueberries, muscadine grapes, U-pick and already picked, pecans, honey from hives on the farm, precut Christmas trees, concessions or refreshment stand, group reservations 5412 Bluff Road, Columbia, SC 29209. Phone: (803) 999-7425. swelsford@aaauac.com . -->Open: Monday to Wednesday from 8 am to 1 pm, Thursday by appointment only, Friday to Saturday from 8 am to 5 pm, Sunday from 1 pm to 5 pm. Click here for current open hours, days and dates. Directions: From I-77 Exit 5 travel east on Bluff Road 4 miles to 5412 Bluff Road Columbia, SC 29209. Blueberry Season: June to July Muscadine Season: September to October. Payment: Cash, Check, Debit cards, Visa, MasterCard, Discover, AmEx, Venmo, ApplePay, AndroidPay. Click here for our Facebook page . Click here for our Instagram page . Picnic Area. [ Click here to update the listing ] (UPDATED: May 4, 2025, JBS) (UPDATED: December 03, 2024); agritourism",farm or agricultural business,(803) 999-7425,swelsford@aaauac.com,internal_until_public_use_review,https://aafarmsllc.com/,,,,,,,,,,,4,scobs_0bbbe6d1a1624e9a5bbf | scobs_9c5f76deac94a961f920 | scobs_9ae4a79d0f5a69b05584 | scobs_2cc127845bb7c10f88ea,Certified SC Grown — member profile; PickYourOwn — SC regional directory; U.S. Farm Trail — SC farm directory; SCDA — 2026 Agritourism Passport participating farms,https://certifiedsc.com/csc-member/aa-farms-llc/ | https://www.pickyourown.org/SCcolumbia.htm | https://www.usfarmtrail.com/api/v1/farms/geojson?state=south-carolina | https://agriculture.sc.gov/wp-content/uploads/2026/02/AgritourismPassportRackCard2026_4x9_digital.pdf,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-31997AE7ED,Aaron and Alysha’s Farm,aaron and alyshas farm,farm_or_agricultural_business,source_unique_name_reviewed,SC,Sumter,Sumter,,"730 Orlando Cir., Sumter, SC 29154",public_business_address_reviewed_for_future_reduced_precision,,,"We make homemade dog treats certified by SCDA. We grow a variety of peppers, herbs, and cut flowers.",farm or agricultural business,803-667-7091,alyshagilbert@gmail.com,internal_until_public_use_review,,,,,,,,,,,,1,scobs_6a4a7b13e7c108c382da,Certified SC Grown — member profile,https://certifiedsc.com/csc-member/aaron-and-alyshas-farm/,C,2026-07-16,promotion_eligible_reviewed,,Retained from source collection; eligible rows still require downstream validation before promotion.
SC-B480EB233B,Abbeville Farmers Market,abbeville farmers market,farm_or_agricultural_business,source_unique_name_reviewed,SC,,,,,county_only_no_public_address,,,farmers-market,farm or agricultural business,,,internal_until_public_use_review,,,,,,,,,,,,1,scobs_904cf12ae19837d39959,U.S. Farm Trail — SC farm directory,https://www.usfarmtrail.com/api/v1/farms/geojson?state=south-carolina,C,2026-07-16,research_or_qa_queue,county requires geography review; city or safe public service area requires review; no public outreach path captured,Retained from source collection; eligible rows still require downstream validation before promotion.
