entity_id,farm_name,normalized_name,entity_type,identity_decision,state,county_equivalent,city,postal_code,address_internal,public_location_classification,latitude,longitude,products,business_types,phone_internal,email_internal,contact_visibility,website_url,facebook_url,instagram_url,tiktok_url,on_farm_sales,farmers_market_sales,online_sales,local_delivery,u_pick,wholesale,farm_to_school,source_observation_count,source_observation_ids,source_names,source_urls,evidence_grades,last_retrieved,canonical_record_ids,canonical_match_status,promotion_status,promotion_blockers,notes
TN-437522CFFC,Andrews Berry Farm,andrews berry farm,farm,unique_source_name_reviewed,TN,,Smyrna,37167,,public_business_address_reviewed_for_future_reduced_precision,,,U-pick crops; agritourism,U-pick; agritourism,(615) 459-3343,,internal_until_public_use_review,,,,,True,False,False,False,True,False,False,1,tnobs_3ba09c15f0c47e1c60b5,PickYourOwn — Middle Tennessee,https://www.pickyourown.org/TNmiddle.htm,E,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; single grade-E discovery listing needs corroboration; source reports closure and requires affirmative curator decision,Fields selected by evidence grade; every source observation remains separately auditable.
TN-CF1EF0C986,Annabel Farms,annabel farms,farm,unique_source_name_reviewed,TN,,Smyrna,,,public_business_address_reviewed_for_future_reduced_precision,,,Active Members; Christmas Tree Farms; Group Tours & School Field Trips; Middle Region; Summer; Winter,Agritourism farm,,,internal_until_public_use_review,https://gmpg.org/xfn/11,http://www.facebook.com/TNagritourism,,,True,False,False,False,False,False,False,1,tnobs_9529fc51c7502360c1b1,Tennessee Agritourism Association — active farm members,https://tennesseeagritourism.org/annabel-farms,C,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
TN-56AB433DA7,Baker Hollow Farm & Stables,baker hollow farm and stables,farm,unique_source_name_reviewed,TN,,Goodlettsville,,,public_business_address_reviewed_for_future_reduced_precision,,,"Active Members; April; August; December; Fall; Farm Animals; February; Fun Farm Attractions; Gardens & Nurseries; Hayrides or Wagon Rides; Horseback Riding; January; July; June; Lodging (Bed & Breakfast, Camping); March; May; Meat (Beef, Pork, Poultry); Middle Region; November; October; September; Spring; Summer; Wedding Venues; Winter",Agritourism farm,,,internal_until_public_use_review,https://gmpg.org/xfn/11,http://www.facebook.com/TNagritourism,,,True,False,False,False,False,False,False,1,tnobs_5c5dbeccf3d9ab9e59a8,Tennessee Agritourism Association — active farm members,https://tennesseeagritourism.org/baker-hollow-farm-stables,C,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
TN-F5248E6763,Bakers Garden,bakers garden,farm,unique_source_name_reviewed,TN,,Hermitage,,,public_business_address_reviewed_for_future_reduced_precision,,,"Active Members; Fall; Farm-to-Table Dinners; Farmers' Markets; Gardens & Nurseries; Group Tours & School Field Trips; Lodging (Bed & Breakfast, Camping); Middle Region; Produce; Spring; Stores; Summer",Agritourism farm,,,internal_until_public_use_review,https://gmpg.org/xfn/11,http://www.facebook.com/TNagritourism,https://www.instagram.com/bakersgardentn,,True,False,False,False,False,False,False,1,tnobs_469e69468a88db48426c,Tennessee Agritourism Association — active farm members,https://tennesseeagritourism.org/bakers-garden,C,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
TN-BD1841518C,"Clear Water Retreats, LLC",clear water retreats,farm,unique_source_name_reviewed,TN,,Nashville,,,public_business_address_reviewed_for_future_reduced_precision,,,"Active Members; Christmas Tree Farms; Fall; Festivals; Group Tours & School Field Trips; Hayrides or Wagon Rides; Lodging (Bed & Breakfast, Camping); Mazes; Middle Region; Pick-Your-Own; Pumpkin Patch; Summer Camps; Wedding Venues; Winter",Agritourism farm,,,internal_until_public_use_review,https://gmpg.org/xfn/11,http://www.facebook.com/TNagritourism,,,True,False,False,False,True,False,False,1,tnobs_45528ec91cccbe80045c,Tennessee Agritourism Association — active farm members,https://tennesseeagritourism.org/clear-water-retreats-llc,C,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
TN-1620BED498,Copperline Ranch,copperline ranch,farm,unique_source_name_reviewed,TN,,Hermitage,,,public_business_address_reviewed_for_future_reduced_precision,,,"Active Members; Event Facilities; Fall; Farm Animals; Farm-to-Table Dinners; Hayrides or Wagon Rides; Horseback Riding; Lodging (Bed & Breakfast, Camping); Middle Region; Produce; Spring; Summer; Wedding Venues; Winter",Agritourism farm,,,internal_until_public_use_review,https://gmpg.org/xfn/11,http://www.facebook.com/TNagritourism,,,True,False,False,False,False,False,False,1,tnobs_94b262dd9baaf7fe19d2,Tennessee Agritourism Association — active farm members,https://tennesseeagritourism.org/copperline-ranch,C,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
TN-5C2B098E87,Dewey Acres,dewey acres,farm,unique_source_name_reviewed,TN,,Mt. Juliet,37122,,public_business_address_reviewed_for_future_reduced_precision,,,U-pick crops; agritourism,U-pick; agritourism,615 758-8846,deweyacres@comcast.net,internal_until_public_use_review,,,,,True,False,False,False,True,False,False,1,tnobs_b98108a67c8f528b7693,PickYourOwn — Middle Tennessee,https://www.pickyourown.org/TNmiddle.htm,E,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; single grade-E discovery listing needs corroboration; source reports closure and requires affirmative curator decision,Fields selected by evidence grade; every source observation remains separately auditable.
TN-AB3B4C1118,Ditney Ridge Farms,ditney ridge farms,farm,unique_source_name_reviewed,TN,,Goodlettsville,37072,,public_business_address_reviewed_for_future_reduced_precision,,,U-pick crops; agritourism,U-pick; agritourism,(615) 299-5783,info@ernieandmissy.com,internal_until_public_use_review,,,,,True,False,False,False,True,False,False,1,tnobs_be00592a08bbb03373fb,PickYourOwn — Middle Tennessee,https://www.pickyourown.org/TNmiddle.htm,E,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; single grade-E discovery listing needs corroboration; source reports closure and requires affirmative curator decision,Fields selected by evidence grade; every source observation remains separately auditable.
TN-86A84D9277,Doug Williams Farm,doug williams farm,farm,unique_source_name_reviewed,TN,,Portland,37148,,public_business_address_reviewed_for_future_reduced_precision,,,U-pick crops; agritourism,U-pick; agritourism,(615) 325-2685,,internal_until_public_use_review,,,,,True,False,False,False,True,False,False,1,tnobs_656ad4a546625f7b6056,PickYourOwn — Middle Tennessee,https://www.pickyourown.org/TNmiddle.htm,E,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; single grade-E discovery listing needs corroboration; source reports closure and requires affirmative curator decision,Fields selected by evidence grade; every source observation remains separately auditable.
TN-4697CB93C5,Grain Bin Commodities at Holt Farm,grain bin commodities at holt farm,farm,unique_source_name_reviewed,TN,,Sweetwater,,,public_business_address_reviewed_for_future_reduced_precision,,,"Active Members; Barn Sales; Dairy Farms; East Region; Event Facilities; Fall; Farm Animals; Farm Tours & Lodging; Farm-to-Table Dinners; Fun Farm Attractions; Group Tours & School Field Trips; Hayrides or Wagon Rides; Lodging (Bed & Breakfast, Camping); Mazes; Pick-Your-Own; Pumpkin Patch; Restaurants; Spring; Stores; Summer; Wedding Venues; Winter",Agritourism farm,,,internal_until_public_use_review,https://gmpg.org/xfn/11,http://www.facebook.com/TNagritourism,https://www.instagram.com/grain_bin_commodities/,,True,False,False,False,True,False,False,1,tnobs_51b59b3426a090527a37,Tennessee Agritourism Association — active farm members,https://tennesseeagritourism.org/grain-bin-commodities-at-holt-farm,C,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
TN-5BFAEFF108,Granny Wall's Century Farm / J and J Century Farm / J and J Century Farm,granny walls century farm j and j century farm j and j century farm,farm,unique_source_name_reviewed,TN,,Southside,37171,,public_business_address_reviewed_for_future_reduced_precision,,,U-pick crops; agritourism,U-pick; agritourism,,,internal_until_public_use_review,,https://www.facebook.com/JJ-Century-Farm-119301329270,,,True,False,False,False,True,False,False,1,tnobs_b1607963e0bf6e9fe967,PickYourOwn — Clarksville area,https://www.pickyourown.org/TNclarksville.htm,E,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; single grade-E discovery listing needs corroboration; source reports closure and requires affirmative curator decision,Fields selected by evidence grade; every source observation remains separately auditable.
TN-3D77E213DB,Greer Farms,greer farms,farm,unique_source_name_reviewed,TN,,Brush Creek,,,public_business_address_reviewed_for_future_reduced_precision,,,Active Members; Farm Animals; Middle Region; Spring,Agritourism farm,,,internal_until_public_use_review,https://gmpg.org/xfn/11,http://www.facebook.com/TNagritourism,,,True,False,False,False,False,False,False,1,tnobs_934d6d50e4877e62a721,Tennessee Agritourism Association — active farm members,https://tennesseeagritourism.org/greer-farms,C,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
TN-D97E166107,Horse Creek Farms,horse creek farms,farm,unique_source_name_reviewed,TN,,Chuckey,,,public_business_address_reviewed_for_future_reduced_precision,,,"Active Members; August; Dairy Farms; East Region; Event Facilities; Fall; Farm Animals; Festivals; Fun Farm Attractions; Group Tours & School Field Trips; Hayrides or Wagon Rides; July; June; March; May; Mazes; Meat (Beef, Pork, Poultry); October; Pick-Your-Own; Produce; Pumpkin Patch; September; Spring; Stores; Summer; Summer Camps; Wedding Venues",Agritourism farm,,,internal_until_public_use_review,https://gmpg.org/xfn/11,http://www.facebook.com/TNagritourism,https://www.instagram.com/horse_creek_farms,,True,False,False,False,True,False,False,1,tnobs_58100ffb82e54076707d,Tennessee Agritourism Association — active farm members,https://tennesseeagritourism.org/horse-creek-farms,C,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
TN-756D113222,Love Farm,love farm,farm,unique_source_name_reviewed,TN,,Hartsville,,,public_business_address_reviewed_for_future_reduced_precision,,,"Active Members; Fall; Farm Animals; Fun Farm Attractions; Gardens & Nurseries; Group Tours & School Field Trips; Lodging (Bed & Breakfast, Camping); Middle Region; Orchards; Pick-Your-Own; Produce; Spring; Summer; Winter",Agritourism farm,,,internal_until_public_use_review,https://gmpg.org/xfn/11,http://www.facebook.com/TNagritourism,,,True,False,False,False,True,False,False,1,tnobs_d90b25bc5937f006e20c,Tennessee Agritourism Association — active farm members,https://tennesseeagritourism.org/love-farm,C,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
TN-8AF42C42C1,Red Barn at Crafton Farms,red barn at crafton farms,farm,unique_source_name_reviewed,TN,,Portland,,,public_business_address_reviewed_for_future_reduced_precision,,,Active Members; Event Facilities; Fall; Middle Region; Pick-Your-Own; Produce; Spring; Summer; Wedding Venues; Winter,Agritourism farm,,,internal_until_public_use_review,https://gmpg.org/xfn/11,http://www.facebook.com/TNagritourism,,,True,False,False,False,True,False,False,1,tnobs_91398b26943b8e52e0a7,Tennessee Agritourism Association — active farm members,https://tennesseeagritourism.org/red-barn-at-crafton-farms,C,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing,Fields selected by evidence grade; every source observation remains separately auditable.
TN-3828AB0580,S and S Berry Farm,s and s berry farm,farm,unique_source_name_reviewed,TN,,Hermitage,37076,,public_business_address_reviewed_for_future_reduced_precision,,,U-pick crops; agritourism,U-pick; agritourism,(615) 758-3031,,internal_until_public_use_review,,,,,True,False,False,False,True,False,False,1,tnobs_8719421eafca48e82d37,PickYourOwn — Middle Tennessee,https://www.pickyourown.org/TNmiddle.htm,E,2026-07-16,,new_state_candidate,research_or_qa_queue,county missing; single grade-E discovery listing needs corroboration; source reports closure and requires affirmative curator decision,Fields selected by evidence grade; every source observation remains separately auditable.
