entity_id,farm_name,normalized_name,entity_type,identity_decision,state,county_equivalent,city,postal_code,address_internal,public_location_classification,latitude,longitude,products,business_types,phone_internal,email_internal,contact_visibility,website_url,facebook_url,instagram_url,tiktok_url,on_farm_sales,farmers_market_sales,online_sales,local_delivery,u_pick,wholesale,farm_to_school,source_observation_count,source_observation_ids,source_names,source_urls,evidence_grades,last_retrieved,promotion_status,promotion_blockers,notes
TX-77C8F678C2,4K River Ranch,4k river ranch,farm,unique_source_name_reviewed,TX,Palo Pinto,Mineral Wells,76068,825 Benavides Lane,public_business_address_reviewed_for_future_reduced_precision,,,"Beekeeper and grower. We sell honey, chemical-free hay and veggies in season. We don't use any chemicals on our land at all. None, nada, never. Want to support the bees and a family farm, give us a call, come visit, or drop us a note. We have rain capture system, solar power, permaculture orchard, and hoop house.",LocalHarvest Family Farm,(817) 597-0582,,internal_until_public_use_review,,http://www.facebook.com/kentolson,,,True,False,False,False,False,False,False,1,txobs_781994de0293ebbc5ff0,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/4k-river-ranch-M70620,D,2026-07-16,promotion_eligible_reviewed,,County assigned from the published Mineral Wells location in Palo Pinto County.
TX-5D4C7A0D27,Acadian Family Farm LLC,acadian family farm,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,sweet potatoes; green onions; potatoes; spinach; cantaloupes; watermelons,LocalHarvest Family Farm,(405) 562-5248,,internal_until_public_use_review,https://www.acadianfamilyfarm.com,http://www.facebook.com/@acadianfamilyfarm,https://instagram.com/acadianfamilyfarm,,True,False,False,False,False,False,False,1,txobs_90bcbb5b9eddd2729d06,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/acadian-family-farm-llc-M45871,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-8EE6C3B736,Alaiyo Farm,alaiyo farm,farm,unique_source_name_reviewed,TX,Fort Bend,Katy,,,public_business_address_reviewed_for_future_reduced_precision,,,artichokes; beets; broccoli; carrots; cauliflower; collards; cucumber; eggplant; green beans; kale; kohlrabi; leeks; lettuce; radishes; spinach; swiss chard; turnips; zucchini; fresh flowers; cabbage; okra; onions; summer squash; tomatillos; tomatoes; cantaloupes,LocalHarvest Family Farm,(281) 356-0561,,internal_until_public_use_review,https://www.alaiyofarm.com,http://www.facebook.com/AlaiyoFarm,,,True,False,False,False,False,False,False,1,txobs_ae945a453b9ac7cda314,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/alaiyo-farm-M67917,D,2026-07-16,promotion_eligible_reviewed,,County assigned from the published Katy location in Fort Bend County.
TX-0B592915A7,Augustus Ranch,augustus ranch,farm,merged_exact_name_reviewed,TX,,Yoakum,77995,"500 Airport Rd., Yoakum, TX",public_business_address_reviewed_for_future_reduced_precision,,,beef; pork; Meat,LocalHarvest Family Farm; Farm-to-school vendor candidate,+1 (361) 293-2777,,internal_until_public_use_review,https://www.augustusranch.com/,http://www.facebook.com/AugustusRanch,,,True,False,False,False,False,True,True,2,txobs_8961c25eac1b25c2eebb | txobs_f67129cf73af02f82da7,LocalHarvest — Texas county-seat gap search | Texas Department of Agriculture — Farm to School vendor resource list,https://www.localharvest.org/augustus-ranch-M71061 | https://www.squaremeals.org/Portals/8/files/NSLP/LFS/LFS%20Vendor%20Resource%20List%20Updated%20Nov%202024.pdf?ver=I7PGgvoElV78S-FFin0OiQ%3D%3D,D,2026-07-15,research_or_qa_queue,county missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-CF0842905A,Bee Space Apiaries,bee space apiaries,farm,unique_source_name_reviewed,TX,,Wylie,75098,McMillen Rd,public_business_address_reviewed_for_future_reduced_precision,,,eggs; bee pollen; honey,LocalHarvest Family Farm,(469) 772-0890,,internal_until_public_use_review,,http://www.facebook.com/groups/362867034156585/,,,True,False,False,False,False,False,False,1,txobs_a30b86e418fb59ce9d02,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/bee-space-apiaries-M84147,D,2026-07-15,research_or_qa_queue,county missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-E3CF4DB14B,Big Oaks Ranch,big oaks ranch,farm,unique_source_name_reviewed,TX,,Kilgore ,75662,,public_business_address_reviewed_for_future_reduced_precision,,,Pastured livestock and/or farm products; see source profile,Pastured-product farm; direct sales,(903) 643-7436,info@bigoaksranch.net,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,txobs_4ca435bd651f385b3b44,EatWild Texas directory,https://www.eatwild.com/products/texas.html,D,2026-07-15,research_or_qa_queue,county missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-A06A5B17AC,Bluebonnet Meat Company,bluebonnet meat company,producer_requires_type_review,unique_source_name_reviewed,TX,,Trenton & Granbury,76049,"Granbury, TX 76049",public_business_address_reviewed_for_future_reduced_precision,,,Meat,Farm-to-school vendor candidate,903.989.2293/ 817-910-8000,,internal_until_public_use_review,https://bluebonnetmeatcompany.com/,,,,False,False,False,False,False,True,True,1,txobs_f52c1a0dc14041dbd9c3,Texas Department of Agriculture — Farm to School vendor resource list,https://www.squaremeals.org/Portals/8/files/NSLP/LFS/LFS%20Vendor%20Resource%20List%20Updated%20Nov%202024.pdf?ver=I7PGgvoElV78S-FFin0OiQ%3D%3D,E,2026-07-15,research_or_qa_queue,county missing; single grade-E discovery listing needs corroboration; member/vendor directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-EE56DC285D,Bob's Garden,bobs garden,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,onions; radishes; salad mix; sweet peppers; beets; summer squash; tomatoes; zucchini; spinach,LocalHarvest Family Farm,(575) 491-4782,,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,txobs_eea7319f2d30d7b6f9f0,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/bobs-garden-M64164,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-14E44A6B99,Briarhill Farms,briarhill farms,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,eggs; goat yogurt; raw milk; baked goods; soap; cucumber; radishes; sweet corn; okra; summer squash; sweet peppers; tomatoes; zucchini; medicinal herbs; celery; sweet potatoes; winter-squash,LocalHarvest Family Farm,(318) 957-2224,,internal_until_public_use_review,,http://www.facebook.com/share/1DcXXN3hoF/,https://instagram.com/briarhill_farms?igsh=MTA4ajdscWNqYTAyNQ==,,True,False,False,False,False,False,False,1,txobs_9426ccfbb3710575394f,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/briarhill-farms-M14827,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-AD9EC71E06,Broken B Ranch,broken b ranch,farm,unique_source_name_reviewed,TX,Bexar,San Antonio,,,public_business_address_reviewed_for_future_reduced_precision,,,eggs; chicken; raw milk; honey; pecans,LocalHarvest Family Farm,,,internal_until_public_use_review,https://www.brokenb.com,,,,True,False,False,False,False,False,False,1,txobs_2ae7c605cbdd0b23ef88,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/broken-b-ranch-M3846,D,2026-07-16,promotion_eligible_reviewed,,County assigned from the published San Antonio location in Bexar County.
TX-7A2F11E103,Brookshire Farm,brookshire farm,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,beef; chicken; pork,LocalHarvest Family Farm,(337) 654-2574,,internal_until_public_use_review,https://brookshirefarm.com,http://www.facebook.com/BrookshireFarm,https://instagram.com/brookshirefarm,,True,False,False,False,False,False,False,1,txobs_229c997e49e9ceda4ffa,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/brookshire-farm-M14128,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-F83A077C44,Buena Tierra,buena tierra,producer_requires_type_review,unique_source_name_reviewed,TX,,Fredonia,76842,"399 Cr 383, Fredonia, 76842",public_business_address_reviewed_for_future_reduced_precision,,,"Fruits, Vegetables",Farm-to-school vendor candidate,(325) 429-6301,buenatierrafredonia@gmail.com,internal_until_public_use_review,,,,,False,False,False,False,False,True,True,1,txobs_6d728e3d56caeb69cbe2,Texas Department of Agriculture — Farm to School vendor resource list,https://www.squaremeals.org/Portals/8/files/NSLP/LFS/LFS%20Vendor%20Resource%20List%20Updated%20Nov%202024.pdf?ver=I7PGgvoElV78S-FFin0OiQ%3D%3D,E,2026-07-15,research_or_qa_queue,county missing; single grade-E discovery listing needs corroboration; member/vendor directory candidate needs independent farm-operation evidence,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-15B082CC5C,Buffalo Dream Ranch & Services,buffalo dream ranch and services,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,beef,LocalHarvest Family Farm,(580) 919-3271,,internal_until_public_use_review,https://www.buffalodream.com,http://www.facebook.com/mobile.Buffalo-Dream-Ranch-Services-644943928879972/,,,True,False,False,False,False,False,False,1,txobs_9ef7ca2e37043bd94099,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/buffalo-dream-ranch-services-M74962,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-88F96C8E57,Caprock Farms,caprock farms,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,chicken; duck; goat; pork; eggs; goat yogurt; milk; baked goods; bread; preserves; soap; Wyandotte Chicken; Fish Pepper; New Mexican Native Chile Pepper,LocalHarvest Family Farm,(575) 650-1143,,internal_until_public_use_review,https://caprockfarms.com,,,,True,False,False,False,False,False,False,1,txobs_d55463c6aee17092328a,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/caprock-farms-M13137,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-738BEA1DB4,Cimarron Organics,cimarron organics,farm,unique_source_name_reviewed,TX,,Amarillo,,,public_business_address_reviewed_for_future_reduced_precision,,,beets; carrots; cucumber; green beans; green onions; hot peppers; lettuce; okra; onions; peas; potatoes; spinach; summer squash; sweet peppers; sweet potatoes; tomatoes; turnips; zucchini; cantaloupes; watermelons,LocalHarvest Family Farm,,,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,txobs_8356322c11b191e20a43,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/cimarron-organics-M12919,D,2026-07-15,research_or_qa_queue,county missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-A01CC4281D,Come April Farm,come april farm,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,goat yogurt; raw milk,LocalHarvest Family Farm,(575) 746-6490,,internal_until_public_use_review,,http://www.facebook.com/comeaprilnubians,,,True,False,False,False,False,False,False,1,txobs_ee94d3231f0e28606788,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/come-april-farm-M85204,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-C6CD7E3DC7,Cottonwood Springs Ranch,cottonwood springs ranch,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,pork,LocalHarvest Family Farm,,,internal_until_public_use_review,https://app.barn2door.com/e/QZm0b/all,http://www.facebook.com/cwsranch/,,,True,False,False,False,False,False,False,1,txobs_5fdfbbc61a2b110b185b,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/cottonwood-springs-ranch-M81678,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-3D7989349E,Crispin Grass-Fed Beef,crispin grass fed beef,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,beef,LocalHarvest Family Farm,,,internal_until_public_use_review,https://crispin-grassfedbeef.com,http://www.facebook.com/CrispinGrassFedBeef,,,True,False,False,False,False,False,False,1,txobs_7f656cd822e3edac61b0,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/crispin-grass-fed-beef-M62522,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-9CB49F9047,Dale Family Farms,dale family farms,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,beef; chicken; goat; jerky; pork; rabbit; turkey; eggs; cucumber; green beans; hot peppers; okra; salad mix; sweet peppers; zucchini; pumpkins; Red Wattle Hog,LocalHarvest Family Farm,(620) 622-4473,,internal_until_public_use_review,https://www.DaleFamilyFarms.com,http://www.facebook.com/pages/Dale-Family-Farms/295881491632,,,True,False,False,False,False,False,False,1,txobs_d86e6ba2c538ffc7b65e,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/dale-family-farms-M28903,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-BAA2198F11,Daniel's Farm/Ranch,daniels farm ranch,farm,unique_source_name_reviewed,TX,Fort Bend,Katy,,,public_business_address_reviewed_for_future_reduced_precision,,,chicken; duck; emu; gamebird; geese; turkey; eggs,LocalHarvest Family Farm,,,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,txobs_80f956142a1d30ecf206,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/daniels-farm-ranch-M84021,D,2026-07-16,promotion_eligible_reviewed,,County assigned from the published Katy location in Fort Bend County.
TX-C397B4CB81,Dark Water Ranch,dark water ranch,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,cabbage; carrots; cucumber; eggplant; lettuce; spinach; sweet peppers; tomatoes; eggs; pecans; soap; peas; radishes; salad greens; strawberries; green beans; okra; onions; potatoes; summer squash; winter-squash; zucchini; blackberries; cantaloupes; raspberries; beef; chicken; pumpkins; tomatillos; lamb,LocalHarvest Family Farm,(405) 779-5388,,internal_until_public_use_review,https://darkwaterranch.com,http://www.facebook.com/pages/Dark-Water-Ranch/164755870240299,,,True,False,False,False,False,False,False,1,txobs_c1b0a769f2acf3f72a1a,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/dark-water-ranch-M19441,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-F86DC2D2F3,Dautobi Acres,dautobi acres,farm,unique_source_name_reviewed,TX,Hopkins,Brashear,75420,,public_business_address_reviewed_for_future_reduced_precision,,,Pastured livestock and/or farm products; see source profile,Pastured-product farm; direct sales,(903) 453-5343,dautobiacres@yahoo.com,internal_until_public_use_review,,,,,True,False,False,False,False,False,False,1,txobs_396ec40e9fd4a18591f8,EatWild Texas directory,https://www.eatwild.com/products/texas.html,D,2026-07-16,promotion_eligible_reviewed,,County assigned from the published Brashear location in Hopkins County.
TX-F4681CA01D,Desert Micro,desert micro,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,arugula; beets; lettuce; mustard greens; salad greens; salad mix; spinach; sprouts; wheat grass,LocalHarvest Family Farm,(415) 532-7385,,internal_until_public_use_review,https://www.desertmicro.life,,https://instagram.com/desert_micro,,True,False,False,False,False,False,False,1,txobs_7f0a9e6945a3d62af4c9,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/desert-micro-M78988,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
TX-D420DE29B5,Desert Micro - Organic Microgreens,desert micro organic microgreens,farm,unique_source_name_reviewed,TX,,,,,public_business_address_reviewed_for_future_reduced_precision,,,wheat grass,LocalHarvest Family Farm,(415) 532-7385,,internal_until_public_use_review,https://www.desertmicro.life,http://www.facebook.com/desertmicro,https://instagram.com/desert_micro,,True,False,False,False,False,False,False,1,txobs_61ad6c2c5a408d9d70d1,LocalHarvest — Texas county-seat gap search,https://www.localharvest.org/desert-micro-organic-microgreens-M82201,D,2026-07-15,research_or_qa_queue,county missing; city or safe public service area missing,Fields selected by evidence grade; all underlying observations remain separately auditable.
