county,county_fips,pass_1_observations,pass_2_observations,pass_3_observations,candidate_entities,promotion_eligible_entities,status,coverage_note
Anderson,48001,2,1,1,4,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Andrews,48003,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Angelina,48005,0,2,5,7,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Aransas,48007,0,2,1,3,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Archer,48009,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Armstrong,48011,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Atascosa,48013,2,4,23,26,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Austin,48015,2,3,1,5,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Bailey,48017,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Bandera,48019,0,2,3,4,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Bastrop,48021,3,41,4,43,38,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Baylor,48023,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Bee,48025,0,0,1,1,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Bell,48027,5,5,1,10,4,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Bexar,48029,5,6,2,12,5,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Blanco,48031,2,0,3,5,2,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Borden,48033,0,0,0,0,0,searched_none_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Bosque,48035,0,1,0,1,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Bowie,48037,1,0,3,4,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Brazoria,48039,1,1,8,10,0,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Brazos,48041,2,4,0,6,3,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
Brewster,48043,1,0,1,2,1,candidates_found,All statewide sources and all 13 published PickYourOwn Texas regions were reviewed; zero means no qualifying public candidate was found under documented sources.
