candidate_key,observation_count,farm_names,source_names,cities,counties,review_status,observation_ids
1915 farm,3,1915 Farm LLC | 1915 Farm,EatWild Texas directory | LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Meyersville  | Meyersville,DeWitt,merged_exact_name_single_geography,txobs_abeea3392db69e655c22 | txobs_fe1156e9b78a65b8bfb5 | txobs_d567973a54bc82b1e553
agarita hills ranch,2,Agarita Hills Ranch Llc,FarmFinder curator verification — farm-owned or authoritative evidence | Texas Department of Agriculture — GO TEXAN Farm And Ranch,Dripping Springs | Austin,Hays,merged_exact_name_single_geography,txobs_c37e500d950df8a5c919 | txobs_25a3b9b6539b56ae1d55
alexander blueberry farms,2,Alexander Blueberry Farms,LocalHarvest — Texas county-seat gap search | PickYourOwn — Northeast,Deberry,Panola,merged_exact_name_single_geography,txobs_fe2e04e3a0f76e0d43ac | txobs_66ba1202f24093f1e862
alford family farm,2,Alford Family Farm,LocalHarvest — Texas county-seat gap search | PickYourOwn — Northeast,Emory,Rains,merged_exact_name_single_geography,txobs_9c219e7929ec74953f03 | txobs_5c5e8789bb197d5c18ac
all we need farm,2,All We Need Farm,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Needville | Guy,Fort Bend,merged_exact_name_single_geography,txobs_df93acf38fecebf90ec5 | txobs_85bfd076a495df8f6d7c
american criollo beef alliance,2,American Criollo Beef Alliance,EatWild Texas directory | LocalHarvest — Texas county-seat gap search,Winters,Runnels | Taylor,merged_cross_county_shared_identity_preferred_geography,txobs_4a4ea42d5c2f51491d86 | txobs_2f9f892c039fa678303d
appleby community farm,3,Appleby Community Farm,LocalHarvest — Texas county-seat gap search | PickYourOwn — Northeast | Texas Center for Local Food — Farms & Ranches,Nacogdoches,Nacogdoches,merged_exact_name_single_geography,txobs_fa2007c317e8fa42b046 | txobs_36b937b11aa79594904d | txobs_39c27ab2de3615ebdb2b
applewood grove,2,Applewood Grove,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Ben Wheeler,Van Zandt,merged_exact_name_single_geography,txobs_934027c7dd97a0315c52 | txobs_86d3e64e5281d8adc4c8
ashcraft beef,2,Ashcraft Beef LLC,Shop Texas Farms — member business directory | Texas Center for Local Food — Farms & Ranches,Ennis,Ellis,merged_exact_name_single_geography,txobs_65c17f7aea4aaead8a04 | txobs_f651199ade4700909459
augustus ranch,2,Augustus Ranch,LocalHarvest — Texas county-seat gap search | Texas Department of Agriculture — Farm to School vendor resource list,Yoakum,,merged_exact_name_single_geography,txobs_8961c25eac1b25c2eebb | txobs_f67129cf73af02f82da7
back 4t farms,3,Back 4T Farms,EatWild Texas directory | LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Eden | Melvin,Concho,merged_exact_name_single_geography,txobs_f3bf762cabda273f1f8f | txobs_5cf298d3302af7328d67 | txobs_f0f22917d2360ee48954
bandera grassland,2,Bandera Grassland,EatWild Texas directory | LocalHarvest — Texas county-seat gap search,Tarpley  | Hondo,Bandera | Medina,merged_cross_county_shared_identity_preferred_geography,txobs_d109ebfdc34c05f877e0 | txobs_8fe16633a229c3f18b4c
barnard beef cattle company,2,Barnard Beef Cattle Company,Shop Texas Farms — member business directory | Texas Center for Local Food — Farms & Ranches,Crawford | Craw,Coryell | McLennan,merged_cross_county_shared_identity_preferred_geography,txobs_c031a9b91341c61bea24 | txobs_838f89c706dea2c71855
beaty cattle company,2,Beaty Cattle Company,Texas Center for Local Food — Farms & Ranches | Texas Department of Agriculture — GO TEXAN Farm And Ranch,De Leon,Comanche,merged_exact_name_single_geography,txobs_c1f29f6ce7de3475279d | txobs_3a16b34e206df8e73570
bee2bee honey collective,2,Bee2Bee Honey Collective,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Houston,Harris,merged_exact_name_single_geography,txobs_2c6243685cae081b86c3 | txobs_9ad6c56dda0ebf686f6e
better days gardens,2,Better Days Gardens,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,Lockhart,Caldwell,merged_exact_name_single_geography,txobs_bf1e28c1bd150b798389 | txobs_b31afb2748c459577d27
blase family farm,2,Blase Family Farm,LocalHarvest — Texas county-seat gap search | PickYourOwn — Dallas / Fort Worth,Rockwall,Rockwall,merged_exact_name_single_geography,txobs_e9b547628ed1e2f7e879 | txobs_bded6dd0a1a0bb4eba88
blessed organics,2,Blessed Organics LLC,LocalHarvest — Texas county-seat gap search | Texas Center for Local Food — Farms & Ranches,El Paso,El Paso,merged_exact_name_single_geography,txobs_aacbfa872e6dab9e1cbf | txobs_6ce0b226a30afbe49020
blessington farms,2,Blessington Farms,PickYourOwn — Houston / Southeast,Simonton,Fort Bend | Waller,merged_cross_county_shared_identity_preferred_geography,txobs_98d9e1aec596a18b88ec | txobs_f5dd5701bb0771ef4eca
broken arrow ranch,2,Broken Arrow Ranch,EatWild Texas directory | LocalHarvest — Texas county-seat gap search,Ingram  | Ingram,Kerr,merged_exact_name_single_geography,txobs_7fc6a7d09ec866ae50bf | txobs_fbf573b7644ace39bc3c
