entity_id,farm_name,county,issue_type,issue_detail,recommended_action,status
TX-2C26B70962,2E'S Farm,Lubbock,promotion_blocker,products or farm activity missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-95BDFE8E22,44 Farms,Milam,promotion_blocker,single grade-E discovery listing needs corroboration; member/vendor directory candidate needs independent farm-operation evidence,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-E4FED56808,4G Reyes Farms,Atascosa,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-77C8F678C2,4K River Ranch,,promotion_blocker,county missing; single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-7721EA2067,5N Farm,Mitchell,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-6C042ADD3E,6195 fm 515,Wood,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-95BDA55F6D,7L Farm,Terrell,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-C1A5E629BB,A Garden in Every Home,Bandera,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-9003DD0390,Aboud Family Farm,Bell,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-CEEE2EC729,Acacia Farms Growing in Harmony with Nature,Cameron,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-5D4C7A0D27,Acadian Family Farm LLC,,promotion_blocker,county missing; city or safe public service area missing; single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-AA602A323C,Acres of Harmony,Cameron,promotion_blocker,products or farm activity missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-4314B625E7,Ahimsa Farm,Kendall,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-8EE6C3B736,Alaiyo Farm,,promotion_blocker,county missing; single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-82008F8CDC,Alexander Blueberry Farms,Panola,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-4BFF18354F,Alford Family Farm,Rains,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-69B9F9BC36,All Hale Meats LLC,Lubbock,promotion_blocker,single grade-E discovery listing needs corroboration; member/vendor directory candidate needs independent farm-operation evidence,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-0ACC5BC283,Allison Acres,Calhoun,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-7C959E2B1B,Amaru Farms & Events,Williamson,promotion_blocker,member/vendor directory candidate needs independent farm-operation evidence,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-5BA7FFEF0F,Anderson Family Farms,Bowie,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-084C103234,Angelica Farms,Angelina,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-5A1CBAC40B,Apple Valley Orchard,Llano,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-1339CA9211,April Homestead,Johnson,promotion_blocker,products or farm activity missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-189753C66A,ARTillery Avenue Farm,Hill,promotion_blocker,products or farm activity missing,Verify with a farm-owned or current official source; do not publish until resolved.,open
TX-4156F4D25A,Atkinson Farm,Harris,promotion_blocker,single grade-E discovery listing needs corroboration,Verify with a farm-owned or current official source; do not publish until resolved.,open
