observation_id,candidate_key,identity_review_status,current_release_name_collision,farm_name,entity_type_source,entity_type_review,state,county,county_fips,county_source,city,postal_code,address,latitude,longitude,location_precision,address_visibility,contact_name,phone,email,contact_visibility,products,business_types,website_url,facebook_url,instagram_url,tiktok_url,on_farm_sales,farmers_market_sales,online_sales,local_delivery,u_pick,wholesale,farm_to_school,retail_sales,restaurant_sales,hours_or_season,source_pass,source_name,source_url,source_record_id,evidence_grade,retrieved_date,promotion_status,notes
txobs_20a867344e02fcec5ef3,artisan pastries and breads,exact_normalized_name_group_reviewed_by_reconciliation_rules,,Artisan Pastries and Breads,bakery,manual_review_excluded_nonfarm,TX,Atascosa,48013,https://shoptexasfarms.com/business-directory/,Jourdanton,78026,,,,curator_verified_safe_service_area,internal_source_value,,,,internal_source_value,Diabetic-friendly baked goods,Cottage-food bakery,,,,,,,,,,,,,,,3,FarmFinder curator verification — farm-owned or authoritative evidence,https://shoptexasfarms.com/business-directory/,txreview_20260715_028,F,2026-07-15,excluded_manual_verification_nonfarm,The current member profile identifies a cottage-food bakery that uses ingredients from area farms; it does not claim its own farm operation.; Excluded as a prepared-food business rather than a producing farm.
txobs_aa2f9a2543835bc48869,artisan pastries and breads,exact_normalized_name_group_reviewed_by_reconciliation_rules,,Artisan Pastries and Breads,Member business,member_directory_requires_farm_operation_review,TX,Atascosa,48013,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,Jourdanton,78026,PO Box 492,,,member_public_business_address_or_city,internal_source_value,,,,internal_source_value,"We’re a Texas Cottage Food operator dedicated in producing diabetic friendly baked goods where the sugar content is between 50 and 70 lower in sugar compared to original recipes. We do not use any kind of sugar substitutes nor preservatives. Our products are made with ingredients from local area farms and ranchers in Atascosa, Bexar, Wison and Frio counties. All our products are 100 percent homemade and handmade. We cater small events.",Shop Texas Farms member,,,,,True,,,,,,,,,,2,Shop Texas Farms — member business directory,https://shoptexasfarms.com/business-directory/entry/6nkmk/,6nkmk,D,2026-07-15,staged_pending_rules,"We’re a Texas Cottage Food operator dedicated in producing diabetic friendly baked goods where the sugar content is between 50 and 70 lower in sugar compared to original recipes. We do not use any kind of sugar substitutes nor preservatives. Our products are made with ingredients from local area farms and ranchers in Atascosa, Bexar, Wison and Frio counties. All our products are 100 percent homemade and handmade. We cater small events."
txobs_85a580301eca381d3e33,barton hill farms,source_unique_name,,Barton Hill Farms,U-pick operation,farm_activity_confirmed_by_directory,TX,Bastrop,48021,https://www.pickyourown.org/TXaustin.htm,Bastrop,78602,1115 Farm To Market 969,,,public_directory_address,internal_source_value,,,marketing@bartonhillfarms.com,internal_source_value,"2025 permanently closed, cut your own flowers, corn maze, pumpkins, concessions or refreshment stand, porta-potties, picnic area",U-pick; agritourism,https://www.bartonhillfarms.com,,,,True,,,,True,,,,,,3,PickYourOwn — Austin,https://www.pickyourown.org/TXaustin.htm,1,F,2026-07-15,excluded_explicitly_closed,"Barton Hill Farms - 2025 permanently closed, cut your own flowers, corn maze, pumpkins, concessions or refreshment stand, porta-potties, picnic area | 1115 Farm To Market 969, Bastrop, TX 78602. Email: marketing@bartonhillfarms.com . Open: UPDATE for 2025: They are permanently closed Barton Hill Farms has closed permanently in Bastrop, Texas | "
txobs_f82a277d50ed4607ef03,bastrop 1832 farmers market,exact_normalized_name_group_reviewed_by_reconciliation_rules,,Bastrop 1832 Farmers Market,market,manual_review_excluded_nonfarm,TX,Bastrop,48021,https://bastrop1832farmersmarket.com/,Bastrop,78602,,,,curator_verified_safe_service_area,internal_source_value,,,,internal_source_value,Farmers market; multi-vendor local products,Certified farmers market,https://bastrop1832farmersmarket.com,,,,,,,,,,,,,,3,FarmFinder curator verification — farm-owned or authoritative evidence,https://bastrop1832farmersmarket.com/,txreview_20260715_004,F,2026-07-15,excluded_manual_verification_nonfarm,"The market-owned site and Texas local-food profile describe a multi-vendor farmers market, not one farm operation.; Excluded from the farm entity set; retain as possible future channel infrastructure."
txobs_0439e8f692108b955a1e,bastrop 1832 farmers market,exact_normalized_name_group_reviewed_by_reconciliation_rules,,Bastrop 1832 Farmers Market,Farm And Ranch,official_directory_farm_ranch_claim,TX,Bastrop,48021,https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=1302+Chestnut+St%2C+Bastrop%2C+TX%2C+78602&benchmark=Public_AR_Current&vintage=Current_Current&format=json,Bastrop,78602,1302 Chestnut St,,,public_official_directory_address,internal_source_value,Tracy Fajkus,(512) 360-4502,,internal_source_value,,GO TEXAN Farm And Ranch; Associate,https://www.bastrop1832farmersmarket.org,,,,True,,,,,False,,False,,,1,Texas Department of Agriculture — GO TEXAN Farm And Ranch,https://bridge.texasagriculture.gov/GoTexanSearch/?resultsFormat=CommaSeparatedValues&searchType=Advanced&pageSize=2147483647&businessType=Farm+And+Ranch&pageNumber=1,83,B,2026-07-15,staged_pending_rules,Brands: N/A; sales: Direct To Public
txobs_6e5c7ef5c8271c718407,blessed to be a blessing farms,exact_normalized_name_group_reviewed_by_reconciliation_rules,,Blessed to be a Blessing Farms LLC,farm,manual_review_excluded_nonfarm,TX,Dona Ana,,https://www.blessedtobeablessingfarms.org/,Chaparral,88081,,,,curator_verified_safe_service_area,internal_source_value,,,,internal_source_value,Seasonal produce; chicken eggs; duck eggs,Micro farm; CSA; local delivery,https://www.blessedtobeablessingfarms.org,,,,,,,,,,,,,,3,FarmFinder curator verification — farm-owned or authoritative evidence,https://www.blessedtobeablessingfarms.org/,txreview_20260715_014,F,2026-07-15,excluded_manual_verification_nonfarm,"The farm-owned site explicitly identifies the operation as a Chaparral, New Mexico micro-farm serving the El Paso and Las Cruces area.; Excluded from Texas staging because service into Texas does not make the farm a Texas entity; retain for future New Mexico collection."
txobs_9769501454702fee03e1,blessed to be a blessing farms,exact_normalized_name_group_reviewed_by_reconciliation_rules,,Blessed to be a Blessing Farms LLC,Farmers Markets & Farm Stands; Farms & Ranches; Food & Ag Resource,farm_activity_confirmed_by_statewide_local_food_directory,TX,El Paso,48141,https://texaslocalfood.org/tclf-partner/blessed-to-be-a-blessing-farms-llc/,Chaparral,88081,650 Edna Street,,,directory_public_business_address,internal_source_value,,,,internal_source_value,,Farmers Markets & Farm Stands; Farms & Ranches; Food & Ag Resource,https://www.blessedtobeablessingfarms.org/,,,,True,False,False,,False,,True,,,,2,Texas Center for Local Food — Farms & Ranches,https://texaslocalfood.org/tclf-partner/blessed-to-be-a-blessing-farms-llc/,14175,D,2026-07-15,staged_pending_rules,"We’re a small, local mother-daughter farm based in Chaparral, NM delivering CSA to community members in El Paso county, Texas. Our mission is to grow and provide fresh, organic produce to nourish our community."
txobs_1e1051209da37ece0675,boldheart farms,source_unique_name,,Boldheart Farms,U-pick operation,farm_activity_confirmed_by_directory,TX,Caldwell,48055,https://www.pickyourown.org/TXaustin.htm,Dale,78616,1192 Sand Hill Road,,,public_directory_address,internal_source_value,,(512) 718-4218,thecottages@boldheartfarms.com,internal_source_value,"2025 permanently closed, No pesticides are used , asparagus, flowers, herbs or spices, tomatoes,",U-pick; agritourism,,,,,True,,,,True,,,,,,3,PickYourOwn — Austin,https://www.pickyourown.org/TXaustin.htm,9,F,2026-07-15,excluded_explicitly_closed,"Boldheart Farms - 2025 permanently closed, No pesticides are used , asparagus, flowers, herbs or spices, tomatoes, | 1192 Sand Hill Road, Dale, TX 78616. Phone: (512) 718-4218. Email: thecottages@boldheartfarms.com . Open: UPDATE for 2025: They are permanently closed | "
txobs_b028dc8b4f18470e360b,cearbhall home slaughter services,exact_normalized_name_group_reviewed_by_reconciliation_rules,,Cearbhall Home Slaughter Services LLC,meat_processor,manual_review_excluded_nonfarm,TX,Gonzales,48177,https://www.dshs.texas.gov/sites/default/files/meat/files/msa-establishments-by-grant-type-1-30-2026.pdf,Waelder,78959,,,,curator_verified_safe_service_area,internal_source_value,,,,internal_source_value,Mobile custom slaughter and processing,State-inspected custom meat processor,,,,,,,,,,,,,,,3,FarmFinder curator verification — farm-owned or authoritative evidence,https://www.dshs.texas.gov/sites/default/files/meat/files/msa-establishments-by-grant-type-1-30-2026.pdf,txreview_20260715_029,F,2026-07-15,excluded_manual_verification_nonfarm,The current Texas DSHS establishment list classifies Cearbhall as a mobile custom-exempt slaughter and processing establishment in Waelder.; Excluded as a processing service; no livestock-producing farm operation is claimed.
txobs_d852adad7475d2fd401d,cearbhall home slaughter services,exact_normalized_name_group_reviewed_by_reconciliation_rules,,Cearbhall Home Slaughter Services LLC,Member business,member_directory_requires_farm_operation_review,TX,Gonzales,48177,https://www2.census.gov/geo/docs/reference/codes2020/national_place_by_county2020.txt,Waelder,78959,30 CR 514,,,member_public_business_address_or_city,internal_source_value,,,,internal_source_value,Total processing of your animal at your place. Mobile Slaughter on your land. We come to you! Your meat never leaves your place.,Shop Texas Farms member,,,,,True,,,,,,,,,,2,Shop Texas Farms — member business directory,https://shoptexasfarms.com/business-directory/entry/9a3lu/,9a3lu,D,2026-07-15,staged_pending_rules,Total processing of your animal at your place. Mobile Slaughter on your land. We come to you! Your meat never leaves your place.
txobs_25ef1d14907be418bbe3,codapet at home pet euthanasia austin,exact_normalized_name_group_reviewed_by_reconciliation_rules,,CodaPet-At Home Pet Euthanasia Austin,veterinary_service,manual_review_excluded_nonfarm,TX,Travis,48453,https://www.codapet.com/cities/austin-tx,Austin,78753,,,,curator_verified_safe_service_area,internal_source_value,,,,internal_source_value,In-home pet euthanasia; aftercare,Veterinary end-of-life service,https://www.codapet.com,,,,,,,,,,,,,,3,FarmFinder curator verification — farm-owned or authoritative evidence,https://www.codapet.com/cities/austin-tx,txreview_20260715_025,F,2026-07-15,excluded_manual_verification_nonfarm,The company-owned Austin page offers veterinary in-home euthanasia and aftercare services.; Excluded as a non-farm veterinary service.
txobs_f9748324bf41f2b1ad61,codapet at home pet euthanasia austin,exact_normalized_name_group_reviewed_by_reconciliation_rules,,CodaPet-At Home Pet Euthanasia Austin,Member business,member_directory_requires_farm_operation_review,TX,Travis,48453,https://www2.census.gov/geo/docs/maps-data/data/rel2020/zcta520/tab20_zcta520_county20_natl.txt,Austin,78753,Austin TX,,,member_public_business_address_or_city,internal_source_value,,,,internal_source_value,"At Codapet, we understand the profound bond you share with your furry companions. Just as they bring joy and love into our lives, they deserve to leave this world with dignity, comfort, and peace. We specialize in providing compassionate euthanasia services for pets across numerous states in the US, ensuring that your loyal companions can peacefully transition from this life while surrounded by the warmth of your love.",Shop Texas Farms member,,,,,True,,,,,,,,,,2,Shop Texas Farms — member business directory,https://shoptexasfarms.com/business-directory/entry/tkig0/,tkig0,D,2026-07-15,staged_pending_rules,"At Codapet, we understand the profound bond you share with your furry companions. Just as they bring joy and love into our lives, they deserve to leave this world with dignity, comfort, and peace. We specialize in providing compassionate euthanasia services for pets across numerous states in the US, ensuring that your loyal companions can peacefully transition from this life while surrounded by the warmth of your love."
txobs_29f44fba08dbf09b3612,cowpuncher coffee,exact_normalized_name_group_reviewed_by_reconciliation_rules,,Cowpuncher Coffee Llc,processor,manual_review_excluded_nonfarm,TX,Upshur,48459,https://cowpunchercoffee.com/pages/about,Gilmer,75644,,,,curator_verified_safe_service_area,internal_source_value,,,,internal_source_value,Roasted coffee,Coffee roaster,https://www.cowpunchercoffee.com,,,,,,,,,,,,,,3,FarmFinder curator verification — farm-owned or authoritative evidence,https://cowpunchercoffee.com/pages/about,txreview_20260715_007,F,2026-07-15,excluded_manual_verification_nonfarm,The business-owned site describes small-batch roasting of Arabica beans and identifies foreign origins for products; it does not claim a Texas coffee-growing farm operation.; Excluded as a processor/roaster under the current farm inclusion boundary.
